pair,pA,qA,KA,pB,qB,KB,r_ens,mean_ln_d_ens,frac_d_gt_1,r0,rlag_max64,MI_MM_bits,chi2_z,R_alpha_A,period_A,lambda1_A
crossTopo_sameK,2,3,0.560,3,5,0.560,-0.077343,0.8463,0.9365,-0.000003,0.000039,-0.00246,-13.04,0.5429,15,-0.1624
sameTopo_dK,2,3,0.580,2,3,0.590,0.990320,-3.7491,0.0254,0.999863,0.999863,3.24030,70704.31,0.4889,15,-0.0675
sameTopo_dK,3,5,0.580,3,5,0.590,-0.006828,0.7702,0.9263,0.012889,0.017190,0.00084,2.58,0.2408,0,0.5736
crossTopo_sameK,2,3,0.580,3,5,0.580,0.025563,0.7721,0.9209,-0.002534,0.005690,0.00003,0.14,0.4889,15,-0.0675
sameTopo_dK,2,3,0.600,2,3,0.610,0.992775,-2.9144,0.0161,0.999791,0.999791,2.88265,52582.38,0.4467,30,-0.0653
sameTopo_dK,3,5,0.600,3,5,0.610,0.022991,0.7659,0.9199,-0.003990,0.012840,0.00073,2.29,0.0894,0,0.6347
crossTopo_sameK,2,3,0.600,3,5,0.600,-0.035079,0.7805,0.9219,0.003437,0.005572,0.00015,0.89,0.4467,30,-0.0653
sameTopo_dK,2,3,0.620,2,3,0.630,0.988286,-3.2678,0.0210,0.999910,0.999910,3.23148,63917.90,0.4235,30,-0.1532
sameTopo_dK,3,5,0.620,3,5,0.630,-0.008498,0.7686,0.9141,-0.004816,0.015321,0.00009,0.22,0.0306,0,0.6454
crossTopo_sameK,2,3,0.620,3,5,0.620,-0.040517,0.7893,0.9194,0.004227,0.005750,0.00012,0.65,0.4235,30,-0.1532
sameTopo_dK,2,3,0.640,2,3,0.650,0.985915,-2.9538,0.0190,0.986695,0.999715,2.58174,31404.69,0.4022,30,-0.0081
sameTopo_dK,3,5,0.640,3,5,0.650,0.073612,0.4390,0.8857,0.999495,0.999495,4.00011,70700.07,1.0000,16,-0.1394
crossTopo_sameK,2,3,0.640,3,5,0.640,-0.052997,0.7861,0.9077,0.000048,0.000097,0.15755,908.45,0.4022,30,-0.0081
sameTopo_dK,2,3,0.660,2,3,0.670,0.983734,-2.4434,0.0317,0.999271,0.999271,3.00133,49124.36,0.3765,60,-0.0616
sameTopo_dK,3,5,0.660,3,5,0.670,0.081697,0.2211,0.8550,-0.694889,0.999853,4.00011,70700.07,1.0000,16,-0.9567
crossTopo_sameK,2,3,0.660,3,5,0.660,0.005513,0.7910,0.9204,-0.000037,0.000098,0.22397,1319.72,0.3765,60,-0.0616
sameTopo_dK,2,3,0.680,2,3,0.690,0.927339,-2.3372,0.1138,0.994543,0.999783,2.62436,35970.11,0.3426,60,-0.0450
sameTopo_dK,3,5,0.680,3,5,0.690,0.095732,0.0488,0.8257,-0.697453,0.999908,4.00011,70700.07,1.0000,16,-0.9357
crossTopo_sameK,2,3,0.680,3,5,0.680,-0.046275,0.7812,0.9229,0.000042,0.000098,0.28625,1746.71,0.3426,60,-0.0450
