pair,p,q,K,KB,n,t0,W,max_abs_r_ens,rms_r_ens,r_ens_first,r_ens_last,mean_ln_d_end,floor_3sigma
sameTopo_dK,3,5,0.640,0.650,2048,10000,200,0.077583,0.071373,0.065056,0.073612,0.4390,0.066291
crossTopo_sameK,2,3,0.640,0.640,2048,10000,200,0.055451,0.029801,-0.034880,-0.034865,0.7788,0.066291
sameTopo_dK,2,3,0.660,0.670,2048,10000,200,0.984229,0.979222,0.976962,0.979338,-2.3305,0.066291
sameTopo_dK,3,5,0.660,0.670,2048,10000,200,0.112745,0.086712,0.066169,0.081697,0.2211,0.066291
crossTopo_sameK,2,3,0.660,0.660,2048,10000,200,0.068999,0.033821,-0.005483,0.014999,0.7636,0.066291
sameTopo_dK,2,3,0.680,0.690,2048,10000,200,0.936282,0.924582,0.929261,0.921184,-2.1801,0.066291
sameTopo_dK,3,5,0.680,0.690,2048,10000,200,0.125595,0.110720,0.114963,0.095732,0.0488,0.066291
crossTopo_sameK,2,3,0.680,0.680,2048,10000,200,0.068016,0.042710,-0.047003,-0.056743,0.8102,0.066291
sameTopo_dK,2,3,0.700,0.710,2048,10000,200,0.793848,0.777105,0.775689,0.788900,-2.1120,0.066291
sameTopo_dK,3,5,0.700,0.710,2048,10000,200,0.145474,0.128210,0.128368,0.114220,-0.0677,0.066291
crossTopo_sameK,2,3,0.700,0.700,2048,10000,200,0.079577,0.047127,-0.021863,-0.059088,0.8206,0.066291
sameTopo_dK,2,3,0.720,0.730,2048,10000,200,0.763242,0.755281,0.752580,0.751640,-2.1102,0.066291
sameTopo_dK,3,5,0.720,0.730,2048,10000,200,0.150392,0.122292,0.150392,0.094919,-0.0829,0.066291
crossTopo_sameK,2,3,0.720,0.720,2048,10000,200,0.076004,0.035661,-0.015712,-0.030499,0.7945,0.066291
sameTopo_dK,2,3,0.740,0.750,2048,10000,200,0.055369,0.025713,-0.011874,0.007756,0.6971,0.066291
sameTopo_dK,3,5,0.740,0.750,2048,10000,200,0.161042,0.151260,0.149311,0.156345,0.1832,0.066291
crossTopo_sameK,2,3,0.740,0.740,2048,10000,200,0.068183,0.035735,0.002225,-0.037867,0.8242,0.066291
sameTopo_dK,2,3,0.760,0.770,2048,10000,200,0.052862,0.019422,0.014133,-0.019752,0.7608,0.066291
sameTopo_dK,3,5,0.760,0.770,2048,10000,200,0.182348,0.169443,0.177215,0.169099,0.1409,0.066291
crossTopo_sameK,2,3,0.760,0.760,2048,10000,200,0.052790,0.023079,0.019689,-0.010894,0.7924,0.066291
sameTopo_dK,2,3,0.780,0.790,2048,10000,200,0.071122,0.021652,0.012901,0.013019,0.7795,0.066291
sameTopo_dK,3,5,0.780,0.790,2048,10000,200,0.153056,0.121133,0.113134,0.147166,0.3511,0.066291
crossTopo_sameK,2,3,0.780,0.780,2048,10000,200,0.075466,0.023713,0.008762,0.016039,0.7687,0.066291
sameTopo_dK,2,3,0.800,0.810,2048,10000,200,0.056634,0.022049,0.056499,-0.008029,0.7453,0.066291
sameTopo_dK,3,5,0.800,0.810,2048,10000,200,0.059593,0.021295,0.003405,-0.000071,0.7862,0.066291
crossTopo_sameK,2,3,0.800,0.800,2048,10000,200,0.074295,0.021885,-0.001150,-0.017125,0.7942,0.066291
sameTopo_dK,2,3,0.820,0.830,2048,10000,200,0.072761,0.021620,-0.000467,0.025198,0.7457,0.066291
sameTopo_dK,3,5,0.820,0.830,2048,10000,200,0.052767,0.026417,-0.031161,-0.001229,0.6277,0.066291
crossTopo_sameK,2,3,0.820,0.820,2048,10000,200,0.071151,0.024058,-0.043325,-0.013610,0.7770,0.066291
sameTopo_dK,2,3,0.840,0.850,2048,10000,200,0.062644,0.023105,0.050502,-0.029611,0.7751,0.066291
sameTopo_dK,3,5,0.840,0.850,2048,10000,200,0.053217,0.019966,0.018168,-0.007395,0.7774,0.066291
crossTopo_sameK,2,3,0.840,0.840,2048,10000,200,0.068719,0.022041,-0.039123,-0.007239,0.7801,0.066291
sameTopo_dK,2,3,0.860,0.870,2048,10000,200,0.096664,0.025372,0.017006,-0.022712,0.7856,0.066291
sameTopo_dK,3,5,0.860,0.870,2048,10000,200,0.077354,0.022715,0.061191,0.002501,0.7616,0.066291
crossTopo_sameK,2,3,0.860,0.860,2048,10000,200,0.066767,0.023842,-0.022880,0.010636,0.7753,0.066291
sameTopo_dK,2,3,0.880,0.890,2048,10000,200,0.062944,0.021592,0.008039,0.009507,0.7633,0.066291
sameTopo_dK,3,5,0.880,0.890,2048,10000,200,0.065664,0.023592,-0.014243,0.054103,0.7539,0.066291
crossTopo_sameK,2,3,0.880,0.880,2048,10000,200,0.081971,0.020775,-0.002381,0.032424,0.7438,0.066291
sameTopo_dK,2,3,0.900,0.910,2048,10000,200,0.045983,0.016166,0.001703,-0.029675,0.6609,0.066291
sameTopo_dK,3,5,0.900,0.910,2048,10000,200,0.064954,0.021715,-0.033105,-0.009444,0.7739,0.066291
crossTopo_sameK,2,3,0.900,0.900,2048,10000,200,0.060136,0.020065,0.051450,-0.000426,0.7716,0.066291
sameTopo_dK,2,3,0.920,0.930,2048,10000,200,0.050073,0.018843,0.019089,0.002826,0.7637,0.066291
sameTopo_dK,3,5,0.920,0.930,2048,10000,200,0.069653,0.021218,0.003114,-0.015082,0.7786,0.066291
crossTopo_sameK,2,3,0.920,0.920,2048,10000,200,0.081496,0.023448,-0.015073,0.022493,0.7869,0.066291
sameTopo_dK,2,3,0.940,0.950,2048,10000,200,0.060256,0.023347,-0.034329,0.010223,0.7663,0.066291
sameTopo_dK,3,5,0.940,0.950,2048,10000,200,0.062230,0.022845,0.028047,0.014432,0.7558,0.066291
crossTopo_sameK,2,3,0.940,0.940,2048,10000,200,0.081092,0.023829,-0.004678,0.011099,0.7912,0.066291
sameTopo_dK,2,3,0.960,0.970,2048,10000,200,0.073297,0.023085,-0.020210,0.018129,0.7757,0.066291
sameTopo_dK,3,5,0.960,0.970,2048,10000,200,0.064944,0.022000,0.003818,0.011738,0.7807,0.066291
crossTopo_sameK,2,3,0.960,0.960,2048,10000,200,0.060392,0.023223,0.005038,0.019133,0.7561,0.066291
sameTopo_dK,2,3,0.980,0.990,2048,10000,200,0.062652,0.020419,0.009702,-0.005365,0.7739,0.066291
sameTopo_dK,3,5,0.980,0.990,2048,10000,200,0.068855,0.022393,0.015720,-0.001133,0.7688,0.066291
crossTopo_sameK,2,3,0.980,0.980,2048,10000,200,0.064747,0.023124,-0.015208,0.013982,0.7629,0.066291
sameTopo_dK,2,3,1.000,1.010,2048,10000,200,0.065347,0.023674,-0.008472,-0.010200,0.7884,0.066291
sameTopo_dK,3,5,1.000,1.010,2048,10000,200,0.068203,0.021712,0.003291,-0.003204,0.7655,0.066291
crossTopo_sameK,2,3,1.000,1.000,2048,10000,200,0.059945,0.022173,-0.030090,0.043357,0.7780,0.066291
