mode,update,p,q,K,delta,ln_inv_delta,lambda1,lambda2,mean_ln_d1,t_sat,t_dec,r_floor,t_pred_1rad,t_pred_2pi,growth_slope,growth_pts,r_at_T
K,gs,3,5,6,1.000e-12,27.6310,4.4139,1.0101,-26.0159,8,10,0.0234,6.894,6.310,4.4124,5,0.000221
K,gs,3,5,6,1.000e-10,23.0259,4.4139,1.0101,-21.4108,7,8,0.0234,5.851,5.267,4.4136,4,0.011215
K,gs,3,5,6,1.000e-08,18.4207,4.4139,1.0101,-16.8056,6,65,0.0234,4.807,4.224,4.4102,3,-0.004365
K,gs,3,5,6,1.000e-06,13.8155,4.4139,1.0101,-12.2005,5,6,0.0234,3.764,3.180,4.4199,2,0.009471
K,gs,3,5,6,1.000e-04,9.2103,4.4139,1.0101,-7.5953,3,55,0.0234,2.721,2.137,nan,1,-0.005439
K,gs,3,5,6,1.000e-02,4.6052,4.4139,1.0101,-2.9895,2,4,0.0234,1.677,1.094,nan,0,-0.006649
K,gs,3,5,6,1.000e-01,2.3026,4.4139,1.0101,-0.6817,2,3,0.0234,1.154,0.571,nan,0,0.007933
