mode,update,p,q,K,delta,ln_inv_delta,lambda1,lambda2,mean_ln_d1,t_sat,t_dec,r_floor,t_pred_1rad,t_pred_2pi,growth_slope,growth_pts,r_at_T
pq,jacobi,3,5,6,1.000e+00,nan,2.8917,2.0891,0.7550,1,2,0.0234,0.739,0.374,nan,0,0.001644
pq,jacobi,3,5,6,2.000e+00,nan,2.8917,2.0891,0.7510,1,1,0.0234,0.740,0.376,nan,0,-0.006596
