mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
omega,gs,3,5,12,1.000e-12,58,0.768150,0.917175,0.010928,0.006820,0.009092
omega,gs,3,5,12,1.000e-12,59,0.779730,0.921448,-0.002837,-0.001625,-0.002703
omega,gs,3,5,12,1.000e-12,60,0.778010,0.922974,0.004580,0.000231,-0.001462
omega,gs,3,5,12,1.000e-12,61,0.777267,0.919617,0.003304,-0.007732,0.003593
omega,gs,3,5,12,1.000e-12,62,0.775292,0.921265,0.001801,0.003291,-0.003363
omega,gs,3,5,12,1.000e-12,63,0.781022,0.919312,-0.011218,0.008434,-0.003381
omega,gs,3,5,12,1.000e-12,64,0.776804,0.920166,0.000490,-0.004427,-0.003328
omega,gs,3,5,12,1.000e-12,65,0.776311,0.921326,0.009988,0.007763,-0.000727
omega,gs,3,5,12,1.000e-12,66,0.778074,0.921265,0.004049,-0.001067,-0.000745
omega,gs,3,5,12,1.000e-12,67,0.777932,0.923645,0.007647,0.001689,0.005095
omega,gs,3,5,12,1.000e-12,68,0.772565,0.916077,0.008213,-0.005628,0.004535
omega,gs,3,5,12,1.000e-12,69,0.774955,0.920410,-0.000499,0.002297,0.006948
omega,gs,3,5,12,1.000e-12,70,0.777116,0.920593,-0.005767,0.005037,0.007444
omega,gs,3,5,12,1.000e-12,71,0.776593,0.921631,0.008910,0.011160,-0.008758
omega,gs,3,5,12,1.000e-12,72,0.777298,0.921387,0.002578,-0.007744,-0.002161
omega,gs,3,5,12,1.000e-12,73,0.768014,0.915771,0.013536,0.013802,0.002347
omega,gs,3,5,12,1.000e-12,74,0.782294,0.925110,-0.006445,-0.007172,-0.006154
omega,gs,3,5,12,1.000e-12,75,0.775484,0.921082,-0.003413,-0.002343,0.007918
omega,gs,3,5,12,1.000e-12,76,0.777062,0.920654,-0.003677,0.013021,-0.014513
omega,gs,3,5,12,1.000e-12,77,0.770847,0.916992,0.013992,-0.003858,0.015842
omega,gs,3,5,12,1.000e-12,78,0.775036,0.922852,0.003311,0.005613,-0.003920
omega,gs,3,5,12,1.000e-12,79,0.770386,0.918030,0.007232,0.013578,0.001916
omega,gs,3,5,12,1.000e-12,80,0.774244,0.917236,0.001757,0.008021,-0.001616
omega,gs,3,5,12,1.000e-10,1,-23.025851,0.000000,1.000000,1.000000,1.000000
omega,gs,3,5,12,1.000e-10,2,-17.205542,0.000000,1.000000,1.000000,1.000000
omega,gs,3,5,12,1.000e-10,3,-11.439750,0.000000,1.000000,1.000000,1.000000
omega,gs,3,5,12,1.000e-10,4,-5.651871,0.000000,0.999999,0.999616,0.999999
omega,gs,3,5,12,1.000e-10,5,-0.640531,0.503662,0.856330,0.330346,0.860871
omega,gs,3,5,12,1.000e-10,6,0.668593,0.884949,0.095145,0.033860,0.091671
omega,gs,3,5,12,1.000e-10,7,0.768641,0.915344,0.007977,-0.000051,0.001773
omega,gs,3,5,12,1.000e-10,8,0.775695,0.918701,-0.015221,0.006097,0.001554
omega,gs,3,5,12,1.000e-10,9,0.778615,0.919922,-0.000931,-0.010419,0.001923
