mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
omega,gs,2,3,12,1.000e-12,1,-27.631052,0.000000,1.000000,1.000000,1.000000
omega,gs,2,3,12,1.000e-12,2,-22.609048,0.000000,1.000000,1.000000,1.000000
omega,gs,2,3,12,1.000e-12,3,-17.631253,0.000000,1.000000,1.000000,1.000000
omega,gs,2,3,12,1.000e-12,4,-12.669741,0.000000,1.000000,1.000000,1.000000
omega,gs,2,3,12,1.000e-12,5,-7.704696,0.000000,1.000000,0.999975,1.000000
omega,gs,2,3,12,1.000e-12,6,-2.799429,0.149353,0.992967,0.783249,0.993210
omega,gs,2,3,12,1.000e-12,7,0.049718,0.709961,0.397529,0.175392,0.415456
omega,gs,2,3,12,1.000e-12,8,0.693782,0.893188,0.057415,0.019630,0.050826
omega,gs,2,3,12,1.000e-12,9,0.772551,0.918884,-0.011785,-0.002637,0.022835
omega,gs,2,3,12,1.000e-12,10,0.776208,0.921265,0.000556,0.001908,0.002484
omega,gs,2,3,12,1.000e-12,11,0.771780,0.922180,0.004982,0.014785,0.015205
omega,gs,2,3,12,1.000e-12,12,0.780557,0.922302,0.004147,-0.008567,-0.003440
omega,gs,2,3,12,1.000e-12,13,0.778767,0.920715,0.001261,0.007262,-0.006485
omega,gs,2,3,12,1.000e-12,14,0.775440,0.921448,0.004062,-0.003457,0.003765
omega,gs,2,3,12,1.000e-12,15,0.772528,0.919128,-0.003599,-0.002876,0.021170
omega,gs,2,3,12,1.000e-12,16,0.771738,0.916016,0.003391,0.001961,-0.003388
omega,gs,2,3,12,1.000e-12,17,0.773468,0.921936,0.002384,0.007823,0.006250
omega,gs,2,3,12,1.000e-12,18,0.783238,0.924194,-0.010805,-0.005766,0.006208
omega,gs,2,3,12,1.000e-12,19,0.778728,0.919861,0.002342,0.017755,-0.015781
omega,gs,2,3,12,1.000e-12,20,0.774816,0.920105,-0.004692,0.001721,0.001218
omega,gs,2,3,12,1.000e-12,21,0.778024,0.919861,-0.007623,-0.000585,-0.002074
omega,gs,2,3,12,1.000e-12,22,0.781671,0.923828,0.001556,-0.029144,-0.006418
omega,gs,2,3,12,1.000e-12,23,0.774417,0.920776,0.005447,0.012512,0.005163
omega,gs,2,3,12,1.000e-12,24,0.775664,0.921326,-0.008607,-0.001214,0.004684
omega,gs,2,3,12,1.000e-12,25,0.776235,0.919800,-0.006910,-0.005396,0.001898
omega,gs,2,3,12,1.000e-12,26,0.782754,0.923584,-0.010913,-0.003316,0.005470
omega,gs,2,3,12,1.000e-12,27,0.780709,0.922791,0.000818,-0.003504,0.000235
omega,gs,2,3,12,1.000e-12,28,0.780791,0.918762,-0.005316,-0.008746,-0.006560
omega,gs,2,3,12,1.000e-12,29,0.771955,0.920227,0.002710,-0.000916,0.010902
omega,gs,2,3,12,1.000e-12,30,0.772202,0.918152,0.006996,0.006837,0.009875
omega,gs,2,3,12,1.000e-12,31,0.773563,0.921448,0.002604,0.001119,0.007098
omega,gs,2,3,12,1.000e-12,32,0.778840,0.919800,-0.008398,-0.002822,0.004802
omega,gs,2,3,12,1.000e-12,33,0.778322,0.922363,0.006241,-0.010300,-0.003008
omega,gs,2,3,12,1.000e-12,34,0.775844,0.919922,-0.002279,0.001934,0.010946
omega,gs,2,3,12,1.000e-12,35,0.780791,0.922424,-0.001226,0.005591,-0.004629
omega,gs,2,3,12,1.000e-12,36,0.770201,0.920105,0.010643,0.000020,0.006575
omega,gs,2,3,12,1.000e-12,37,0.775474,0.920410,0.001767,0.003675,-0.009164
omega,gs,2,3,12,1.000e-12,38,0.776355,0.920654,-0.012013,0.004904,-0.012802
omega,gs,2,3,12,1.000e-12,39,0.778657,0.921509,-0.004158,-0.007150,-0.005797
omega,gs,2,3,12,1.000e-12,40,0.781637,0.920471,-0.008486,-0.006421,-0.002030
omega,gs,2,3,12,1.000e-12,41,0.771436,0.919495,0.014259,0.005473,0.003816
omega,gs,2,3,12,1.000e-12,42,0.775807,0.916321,-0.005858,-0.013685,0.003666
omega,gs,2,3,12,1.000e-12,43,0.772798,0.920044,-0.008814,0.011656,-0.004043
omega,gs,2,3,12,1.000e-12,44,0.781146,0.925171,-0.000794,-0.009554,0.004156
omega,gs,2,3,12,1.000e-12,45,0.776583,0.922913,0.002555,0.006623,0.004509
omega,gs,2,3,12,1.000e-12,46,0.774597,0.920227,-0.002716,0.013534,-0.003665
omega,gs,2,3,12,1.000e-12,47,0.784768,0.921631,-0.021393,-0.012741,-0.002764
omega,gs,2,3,12,1.000e-12,48,0.773867,0.918396,0.009817,0.002762,-0.005135
