mode,update,p,q,K,delta,ln_inv_delta,lambda1,lambda2,mean_ln_d1,t_sat,t_dec,r_floor,t_pred_1rad,t_pred_2pi,growth_slope,growth_pts,r_at_T
K,gs,3,5,20,1.000e-12,27.6310,6.8015,1.0211,-24.8965,5,7,0.0234,4.660,3.931,6.7956,3,-0.003807
K,gs,3,5,20,1.000e-10,23.0259,6.8015,1.0211,-20.2901,5,6,0.0234,3.983,3.253,6.7966,2,0.007620
K,gs,3,5,20,1.000e-08,18.4207,6.8015,1.0211,-15.6849,4,5,0.0234,3.306,2.576,6.7808,2,0.003134
K,gs,3,5,20,1.000e-06,13.8155,6.8015,1.0211,-11.0797,3,4,0.0234,2.629,1.899,nan,1,-0.009060
K,gs,3,5,20,1.000e-04,9.2103,6.8015,1.0211,-6.4746,3,4,0.0234,1.952,1.222,nan,0,-0.006421
K,gs,3,5,20,1.000e-02,4.6052,6.8015,1.0211,-1.8693,2,3,0.0234,1.275,0.545,nan,0,0.010113
K,gs,3,5,20,1.000e-01,2.3026,6.8015,1.0211,0.0684,1,3,0.0234,0.990,0.260,nan,0,-0.004765
