mode,update,p,q,K,delta,ln_inv_delta,lambda1,lambda2,mean_ln_d1,t_sat,t_dec,r_floor,t_pred_1rad,t_pred_2pi,growth_slope,growth_pts,r_at_T
omega,jacobi,3,5,12,1.000e-12,27.6310,3.5864,2.7643,-27.6311,9,10,0.0234,8.704,8.217,3.5880,7,-0.002339
omega,jacobi,3,5,12,1.000e-10,23.0259,3.5864,2.7643,-23.0259,8,72,0.0234,7.420,6.933,3.5871,5,0.009763
omega,jacobi,3,5,12,1.000e-08,18.4207,3.5864,2.7643,-18.4207,7,8,0.0234,6.136,5.649,3.5841,4,0.002266
omega,jacobi,3,5,12,1.000e-06,13.8155,3.5864,2.7643,-13.8155,5,6,0.0234,4.852,4.365,3.5778,3,-0.009896
omega,jacobi,3,5,12,1.000e-04,9.2103,3.5864,2.7643,-9.2103,4,5,0.0234,3.568,3.081,nan,1,-0.000846
omega,jacobi,3,5,12,1.000e-02,4.6052,3.5864,2.7643,-4.6052,3,4,0.0234,2.284,1.797,nan,0,-0.008431
omega,jacobi,3,5,12,1.000e-01,2.3026,3.5864,2.7643,-2.3026,2,14,0.0234,1.642,1.154,nan,0,-0.007147
