mode,update,p,q,K,delta,ln_inv_delta,lambda1,lambda2,mean_ln_d1,t_sat,t_dec,r_floor,t_pred_1rad,t_pred_2pi,growth_slope,growth_pts,r_at_T
pq,gs,3,5,12,1.000e+00,nan,5.7778,1.0186,0.7973,1,2,0.0234,0.862,0.180,nan,0,0.010054
pq,gs,3,5,12,2.000e+00,nan,5.7778,1.0186,0.7740,1,2,0.0234,0.866,0.184,nan,0,0.007088
