mode,update,p,q,K,delta,ln_inv_delta,lambda1,lambda2,mean_ln_d1,t_sat,t_dec,r_floor,t_pred_1rad,t_pred_2pi,growth_slope,growth_pts,r_at_T
K,jacobi,3,5,6,1.000e-12,27.6310,2.8917,2.0891,-27.7409,11,13,0.0234,10.593,10.229,2.8900,8,-0.010772
K,jacobi,3,5,6,1.000e-10,23.0259,2.8917,2.0891,-23.1358,10,11,0.0234,9.001,8.636,2.8904,7,0.002233
K,jacobi,3,5,6,1.000e-08,18.4207,2.8917,2.0891,-18.5307,8,9,0.0234,7.408,7.044,2.8904,5,0.005003
K,jacobi,3,5,6,1.000e-06,13.8155,2.8917,2.0891,-13.9255,6,65,0.0234,5.816,5.451,2.8903,4,0.000575
K,jacobi,3,5,6,1.000e-04,9.2103,2.8917,2.0891,-9.3203,5,47,0.0234,4.223,3.859,2.8891,2,0.009874
K,jacobi,3,5,6,1.000e-02,4.6052,2.8917,2.0891,-4.7152,3,4,0.0234,2.631,2.266,nan,0,0.006449
K,jacobi,3,5,6,1.000e-01,2.3026,2.8917,2.0891,-2.4126,2,3,0.0234,1.834,1.470,nan,0,-0.006462
