mode,update,p,q,K,delta,ln_inv_delta,lambda1,lambda2,mean_ln_d1,t_sat,t_dec,r_floor,t_pred_1rad,t_pred_2pi,growth_slope,growth_pts,r_at_T
K,gs,3,5,12,1.000e-12,27.6310,5.7778,1.0186,-25.4086,6,12,0.0234,5.398,4.716,5.7414,4,0.000080
K,gs,3,5,12,1.000e-10,23.0259,5.7778,1.0186,-20.8033,5,7,0.0234,4.601,3.919,5.7760,3,-0.002924
K,gs,3,5,12,1.000e-08,18.4207,5.7778,1.0186,-16.1981,5,6,0.0234,3.804,3.122,5.7656,2,-0.006595
K,gs,3,5,12,1.000e-06,13.8155,5.7778,1.0186,-11.5930,4,5,0.0234,3.006,2.325,nan,1,0.006026
K,gs,3,5,12,1.000e-04,9.2103,5.7778,1.0186,-6.9878,3,4,0.0234,2.209,1.528,nan,0,0.009693
K,gs,3,5,12,1.000e-02,4.6052,5.7778,1.0186,-2.3828,2,3,0.0234,1.412,0.731,nan,0,-0.013336
K,gs,3,5,12,1.000e-01,2.3026,5.7778,1.0186,-0.0904,2,2,0.0234,1.016,0.334,nan,0,0.011648
