mode,update,p,q,K,delta,ln_inv_delta,lambda1,lambda2,mean_ln_d1,t_sat,t_dec,r_floor,t_pred_1rad,t_pred_2pi,growth_slope,growth_pts,r_at_T
K,jacobi,3,5,20,1.000e-12,27.6310,4.0996,3.2782,-27.7427,8,9,0.0234,7.767,7.215,4.0926,6,0.012624
K,jacobi,3,5,20,1.000e-10,23.0259,4.0996,3.2782,-23.1359,7,8,0.0234,6.643,6.092,4.0922,5,-0.012789
K,jacobi,3,5,20,1.000e-08,18.4207,4.0996,3.2782,-18.5307,6,7,0.0234,5.520,4.968,4.0895,4,-0.008759
K,jacobi,3,5,20,1.000e-06,13.8155,4.0996,3.2782,-13.9255,5,6,0.0234,4.397,3.845,4.0866,2,0.001591
K,jacobi,3,5,20,1.000e-04,9.2103,4.0996,3.2782,-9.3203,4,5,0.0234,3.273,2.722,nan,1,0.006677
K,jacobi,3,5,20,1.000e-02,4.6052,4.0996,3.2782,-4.7152,3,3,0.0234,2.150,1.598,nan,0,-0.018956
K,jacobi,3,5,20,1.000e-01,2.3026,4.0996,3.2782,-2.4126,2,3,0.0234,1.588,1.037,nan,0,0.009031
