mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
omega,jacobi,3,5,12,1.000e-12,1,-27.631069,0.000000,1.000000,1.000000,1.000000
omega,jacobi,3,5,12,1.000e-12,2,-23.874092,0.000000,1.000000,1.000000,1.000000
omega,jacobi,3,5,12,1.000e-12,3,-20.318795,0.000000,1.000000,1.000000,1.000000
omega,jacobi,3,5,12,1.000e-12,4,-16.718378,0.000000,1.000000,1.000000,1.000000
omega,jacobi,3,5,12,1.000e-12,5,-13.127052,0.000000,1.000000,1.000000,1.000000
omega,jacobi,3,5,12,1.000e-12,6,-9.534664,0.000000,1.000000,1.000000,1.000000
omega,jacobi,3,5,12,1.000e-12,7,-5.950620,0.000000,0.999944,0.999946,0.999945
omega,jacobi,3,5,12,1.000e-12,8,-2.359335,0.069885,0.935918,0.936003,0.937230
omega,jacobi,3,5,12,1.000e-12,9,0.251674,0.722961,0.263234,0.254469,0.261153
omega,jacobi,3,5,12,1.000e-12,10,0.738025,0.903748,0.011490,0.020879,0.013798
omega,jacobi,3,5,12,1.000e-12,11,0.775634,0.918152,0.005150,-0.008015,0.005165
omega,jacobi,3,5,12,1.000e-12,12,0.773545,0.918701,0.003998,0.010291,-0.007061
omega,jacobi,3,5,12,1.000e-12,13,0.771600,0.919861,0.009940,-0.000233,0.015617
omega,jacobi,3,5,12,1.000e-12,14,0.776094,0.921997,0.008380,0.000331,-0.012563
omega,jacobi,3,5,12,1.000e-12,15,0.778992,0.921326,-0.005668,0.001449,0.003431
omega,jacobi,3,5,12,1.000e-12,16,0.782592,0.921936,0.007707,-0.006449,0.000167
omega,jacobi,3,5,12,1.000e-12,17,0.774405,0.919373,0.007179,-0.003598,0.004221
omega,jacobi,3,5,12,1.000e-12,18,0.777107,0.922485,0.003538,-0.009929,0.006245
omega,jacobi,3,5,12,1.000e-12,19,0.773615,0.917725,0.008703,-0.009138,0.001540
omega,jacobi,3,5,12,1.000e-12,20,0.770699,0.919128,0.008865,0.001727,0.017481
omega,jacobi,3,5,12,1.000e-12,21,0.774937,0.918518,-0.004381,0.006484,-0.006912
omega,jacobi,3,5,12,1.000e-12,22,0.775585,0.921021,0.002842,-0.012421,0.002781
omega,jacobi,3,5,12,1.000e-12,23,0.779903,0.921875,-0.007509,-0.002099,0.008665
omega,jacobi,3,5,12,1.000e-12,24,0.773245,0.917786,0.007577,0.005992,0.002603
omega,jacobi,3,5,12,1.000e-12,25,0.777631,0.920593,-0.001974,-0.011978,-0.004354
omega,jacobi,3,5,12,1.000e-12,26,0.776923,0.920471,0.002932,-0.013611,-0.010016
omega,jacobi,3,5,12,1.000e-12,27,0.777298,0.919556,-0.007122,-0.003667,0.001411
omega,jacobi,3,5,12,1.000e-12,28,0.781135,0.920288,-0.006419,-0.005256,-0.009713
omega,jacobi,3,5,12,1.000e-12,29,0.774643,0.919922,0.006051,0.003607,0.008487
omega,jacobi,3,5,12,1.000e-12,30,0.786800,0.924622,-0.013885,-0.012405,-0.006431
omega,jacobi,3,5,12,1.000e-12,31,0.774987,0.923218,-0.002107,0.009143,0.013474
omega,jacobi,3,5,12,1.000e-12,32,0.774079,0.919617,-0.010367,0.009128,-0.002387
omega,jacobi,3,5,12,1.000e-12,33,0.777133,0.919495,0.005844,-0.006726,-0.003696
omega,jacobi,3,5,12,1.000e-12,34,0.772945,0.918335,-0.008682,0.010486,0.012483
omega,jacobi,3,5,12,1.000e-12,35,0.779277,0.919006,0.004853,0.002116,-0.008082
omega,jacobi,3,5,12,1.000e-12,36,0.780226,0.923889,-0.002612,-0.005108,-0.002430
omega,jacobi,3,5,12,1.000e-12,37,0.774392,0.921021,-0.000788,-0.004481,0.000716
omega,jacobi,3,5,12,1.000e-12,38,0.771891,0.919312,0.009359,0.002574,0.012562
omega,jacobi,3,5,12,1.000e-12,39,0.777010,0.920288,-0.002183,-0.006555,-0.009518
omega,jacobi,3,5,12,1.000e-12,40,0.772466,0.917847,0.000608,0.002823,-0.002424
omega,jacobi,3,5,12,1.000e-12,41,0.778749,0.922913,0.004516,0.000915,0.007747
omega,jacobi,3,5,12,1.000e-12,42,0.781529,0.923889,-0.001158,0.001048,0.003763
omega,jacobi,3,5,12,1.000e-12,43,0.767746,0.915222,0.015538,0.004659,0.005353
omega,jacobi,3,5,12,1.000e-12,44,0.777426,0.920044,0.001152,0.004129,0.000998
omega,jacobi,3,5,12,1.000e-12,45,0.764771,0.914185,0.022342,-0.005024,0.006520
omega,jacobi,3,5,12,1.000e-12,46,0.778184,0.920410,-0.014360,0.001271,0.004233
omega,jacobi,3,5,12,1.000e-12,47,0.782618,0.924988,-0.013376,-0.004593,-0.007438
omega,jacobi,3,5,12,1.000e-12,48,0.779418,0.918579,0.000209,-0.007627,0.000492
omega,jacobi,3,5,12,1.000e-12,49,0.770002,0.917908,-0.001917,0.005508,0.025135
omega,jacobi,3,5,12,1.000e-12,50,0.777248,0.921143,0.003985,0.005447,-0.002193
omega,jacobi,3,5,12,1.000e-12,51,0.780296,0.920349,0.003551,-0.006230,-0.013835
