mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
omega,gs,7,11,12,1.000e-12,1,-27.631053,0.000000,1.000000,1.000000,1.000000
omega,gs,7,11,12,1.000e-12,2,-20.153040,0.000000,1.000000,1.000000,1.000000
omega,gs,7,11,12,1.000e-12,3,-12.658334,0.000000,1.000000,1.000000,1.000000
omega,gs,7,11,12,1.000e-12,4,-5.184008,0.000000,1.000000,0.999036,1.000000
omega,gs,7,11,12,1.000e-12,5,0.148514,0.711670,0.610376,0.118148,0.614317
omega,gs,7,11,12,1.000e-12,6,0.767438,0.916016,0.018858,-0.007303,0.015194
omega,gs,7,11,12,1.000e-12,7,0.778577,0.921143,0.008718,-0.000287,-0.004717
omega,gs,7,11,12,1.000e-12,8,0.775854,0.918335,-0.002174,-0.002549,0.000327
omega,gs,7,11,12,1.000e-12,9,0.773906,0.920349,0.012673,0.009787,-0.001784
omega,gs,7,11,12,1.000e-12,10,0.777220,0.921631,-0.004429,-0.013206,0.007137
omega,gs,7,11,12,1.000e-12,11,0.773125,0.918091,0.008041,0.011831,0.007170
omega,gs,7,11,12,1.000e-12,12,0.783346,0.921997,-0.000129,-0.025558,-0.002993
omega,gs,7,11,12,1.000e-12,13,0.778415,0.921509,0.007958,-0.006242,-0.004215
omega,gs,7,11,12,1.000e-12,14,0.782184,0.922974,-0.001423,-0.009816,-0.002358
omega,gs,7,11,12,1.000e-12,15,0.779507,0.921448,-0.006063,-0.005600,0.015277
omega,gs,7,11,12,1.000e-12,16,0.767663,0.914856,0.013115,0.014843,-0.003723
omega,gs,7,11,12,1.000e-12,17,0.777122,0.920898,-0.004434,-0.008292,0.001409
omega,gs,7,11,12,1.000e-12,18,0.773722,0.920105,0.010605,0.008152,0.009062
omega,gs,7,11,12,1.000e-12,19,0.775235,0.920593,-0.002533,0.009039,-0.013863
omega,gs,7,11,12,1.000e-12,20,0.783189,0.920288,-0.000435,-0.004089,-0.015211
omega,gs,7,11,12,1.000e-12,21,0.775916,0.919556,0.007373,-0.010332,-0.004870
omega,gs,7,11,12,1.000e-12,22,0.772717,0.918091,0.015701,0.007959,0.002235
omega,gs,7,11,12,1.000e-12,23,0.774071,0.918701,0.007251,-0.000638,0.010476
omega,gs,7,11,12,1.000e-12,24,0.776462,0.922913,-0.007887,-0.003359,0.005351
omega,gs,7,11,12,1.000e-12,25,0.776691,0.920410,-0.015884,-0.002428,0.002892
omega,gs,7,11,12,1.000e-12,26,0.773269,0.919922,0.000525,0.004333,0.003123
omega,gs,7,11,12,1.000e-12,27,0.778964,0.923218,-0.008182,-0.005722,0.008046
omega,gs,7,11,12,1.000e-12,28,0.775285,0.919617,0.012330,0.005361,-0.012537
omega,gs,7,11,12,1.000e-12,29,0.771824,0.918945,-0.000079,-0.004549,0.015160
omega,gs,7,11,12,1.000e-12,30,0.783436,0.925110,-0.013438,-0.010099,0.000153
omega,gs,7,11,12,1.000e-12,31,0.776634,0.923645,0.005671,0.009224,-0.009150
omega,gs,7,11,12,1.000e-12,32,0.779462,0.919617,0.002968,-0.011308,-0.002328
omega,gs,7,11,12,1.000e-12,33,0.775294,0.921021,0.003589,-0.001842,0.001492
omega,gs,7,11,12,1.000e-12,34,0.778601,0.920105,-0.004118,-0.000761,-0.009792
omega,gs,7,11,12,1.000e-12,35,0.775916,0.920898,0.002820,-0.009101,0.019247
omega,gs,7,11,12,1.000e-12,36,0.778497,0.922607,-0.002262,-0.005983,-0.007870
omega,gs,7,11,12,1.000e-12,37,0.774946,0.920044,-0.003913,0.010983,0.000704
omega,gs,7,11,12,1.000e-12,38,0.772876,0.918823,0.001258,0.000590,-0.004169
omega,gs,7,11,12,1.000e-12,39,0.775550,0.918823,0.003177,-0.003718,0.000139
omega,gs,7,11,12,1.000e-12,40,0.770289,0.920227,0.005638,0.013384,-0.000513
omega,gs,7,11,12,1.000e-12,41,0.778748,0.920166,-0.012318,-0.009945,0.006145
omega,gs,7,11,12,1.000e-12,42,0.774532,0.920166,-0.002863,0.019134,-0.003818
omega,gs,7,11,12,1.000e-12,43,0.772061,0.919678,-0.002984,0.005227,0.008761
omega,gs,7,11,12,1.000e-12,44,0.778485,0.920410,0.001553,-0.003686,-0.011333
omega,gs,7,11,12,1.000e-12,45,0.776822,0.920593,0.006049,-0.001707,0.000120
omega,gs,7,11,12,1.000e-12,46,0.777232,0.920105,-0.012505,0.002795,-0.003124
omega,gs,7,11,12,1.000e-12,47,0.780863,0.920837,-0.007559,0.005697,-0.010602
omega,gs,7,11,12,1.000e-12,48,0.783468,0.925354,-0.007351,-0.006670,0.001473
omega,gs,7,11,12,1.000e-12,49,0.782004,0.923157,-0.012506,-0.013337,0.002020
omega,gs,7,11,12,1.000e-12,50,0.773642,0.917603,-0.003479,-0.001424,0.008078
omega,gs,7,11,12,1.000e-12,51,0.775171,0.921204,0.002690,0.010107,-0.002014
omega,gs,7,11,12,1.000e-12,52,0.781413,0.924011,-0.002598,-0.015647,0.003417
omega,gs,7,11,12,1.000e-12,53,0.771045,0.919556,-0.007988,0.014956,0.009241
omega,gs,7,11,12,1.000e-12,54,0.777339,0.921265,-0.004576,-0.004979,0.009409
omega,gs,7,11,12,1.000e-12,55,0.773897,0.918152,0.000731,0.003761,0.007572
omega,gs,7,11,12,1.000e-12,56,0.769929,0.915161,0.000421,0.005392,-0.000520
omega,gs,7,11,12,1.000e-12,57,0.772463,0.918884,0.018224,0.006771,0.004074
omega,gs,7,11,12,1.000e-12,58,0.784044,0.924561,-0.002478,-0.008377,-0.013843
omega,gs,7,11,12,1.000e-12,59,0.776538,0.921326,0.007075,-0.008949,0.001412
omega,gs,7,11,12,1.000e-12,60,0.781719,0.923462,-0.012090,0.001277,0.003506
omega,gs,7,11,12,1.000e-12,61,0.774726,0.919006,-0.005746,0.001611,-0.008733
omega,gs,7,11,12,1.000e-12,62,0.780483,0.921631,0.000918,-0.006837,-0.010188
omega,gs,7,11,12,1.000e-12,63,0.774473,0.920898,0.011384,-0.006135,-0.007021
omega,gs,7,11,12,1.000e-12,64,0.778867,0.920349,-0.010165,0.007803,-0.000539
omega,gs,7,11,12,1.000e-12,65,0.772146,0.918152,0.011352,0.014753,-0.007825
omega,gs,7,11,12,1.000e-12,66,0.774577,0.919861,-0.006046,0.004689,0.010347
omega,gs,7,11,12,1.000e-12,67,0.781781,0.922913,-0.012942,-0.008236,0.007270
omega,gs,7,11,12,1.000e-12,68,0.773559,0.920959,0.015817,-0.002886,0.000711
omega,gs,7,11,12,1.000e-12,69,0.782346,0.923584,0.001881,-0.006872,-0.006632
omega,gs,7,11,12,1.000e-12,70,0.769774,0.919739,0.012135,0.010474,0.003363
omega,gs,7,11,12,1.000e-12,71,0.774477,0.919556,0.002927,-0.005419,-0.000182
omega,gs,7,11,12,1.000e-12,72,0.777166,0.921204,0.000898,-0.002687,0.001088
omega,gs,7,11,12,1.000e-12,73,0.778452,0.922424,0.002546,-0.006382,-0.001572
omega,gs,7,11,12,1.000e-12,74,0.773839,0.917664,0.004488,0.004944,0.005164
omega,gs,7,11,12,1.000e-12,75,0.781094,0.922791,-0.002360,0.002805,-0.009491
omega,gs,7,11,12,1.000e-12,76,0.773235,0.917725,-0.004686,0.000507,0.009898
omega,gs,7,11,12,1.000e-12,77,0.779535,0.921509,-0.000442,-0.000630,0.000688
omega,gs,7,11,12,1.000e-12,78,0.780293,0.922668,-0.006009,-0.007389,0.004977
omega,gs,7,11,12,1.000e-12,79,0.776940,0.921021,-0.001918,-0.008724,0.002150
omega,gs,7,11,12,1.000e-12,80,0.769855,0.916016,-0.001158,0.005140,0.006284
omega,gs,7,11,12,1.000e-10,1,-23.025852,0.000000,1.000000,1.000000,1.000000
