mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
omega,gs,3,5,12,1.000e-12,1,-27.631057,0.000000,1.000000,1.000000,1.000000
omega,gs,3,5,12,1.000e-12,2,-21.808660,0.000000,1.000000,1.000000,1.000000
omega,gs,3,5,12,1.000e-12,3,-16.018299,0.000000,1.000000,1.000000,1.000000
omega,gs,3,5,12,1.000e-12,4,-10.243941,0.000000,1.000000,1.000000,1.000000
omega,gs,3,5,12,1.000e-12,5,-4.479689,0.005188,0.999975,0.984436,0.999975
omega,gs,3,5,12,1.000e-12,6,-0.199483,0.629517,0.612305,0.226177,0.606943
omega,gs,3,5,12,1.000e-12,7,0.703104,0.895996,0.068923,0.014805,0.053698
omega,gs,3,5,12,1.000e-12,8,0.773111,0.922119,0.006962,0.008995,0.013330
omega,gs,3,5,12,1.000e-12,9,0.781581,0.921936,-0.010520,-0.005447,-0.007994
omega,gs,3,5,12,1.000e-12,10,0.776605,0.923828,-0.005550,0.002509,0.012721
omega,gs,3,5,12,1.000e-12,11,0.772540,0.918335,-0.002701,0.010141,0.005162
omega,gs,3,5,12,1.000e-12,12,0.782631,0.923340,0.003339,-0.007012,-0.007795
omega,gs,3,5,12,1.000e-12,13,0.774720,0.918762,0.001973,0.007761,0.004385
omega,gs,3,5,12,1.000e-12,14,0.773256,0.918762,0.004307,0.000103,0.000594
omega,gs,3,5,12,1.000e-12,15,0.776219,0.920959,0.013725,-0.001617,0.003896
omega,gs,3,5,12,1.000e-12,16,0.779582,0.919373,0.003839,-0.001972,-0.009418
omega,gs,3,5,12,1.000e-12,17,0.779530,0.919800,0.009278,-0.010013,-0.011491
omega,gs,3,5,12,1.000e-12,18,0.778893,0.921753,0.009849,-0.002343,-0.006462
omega,gs,3,5,12,1.000e-12,19,0.767242,0.913879,0.011456,0.003550,0.005250
omega,gs,3,5,12,1.000e-12,20,0.780128,0.921631,-0.000854,-0.010809,0.005092
omega,gs,3,5,12,1.000e-12,21,0.779837,0.920959,-0.001144,-0.010351,-0.003385
omega,gs,3,5,12,1.000e-12,22,0.778625,0.920471,0.010599,-0.005353,-0.009339
omega,gs,3,5,12,1.000e-12,23,0.775701,0.921021,-0.002239,-0.008731,0.008894
omega,gs,3,5,12,1.000e-12,24,0.772185,0.915222,-0.002397,0.004056,0.002880
omega,gs,3,5,12,1.000e-12,25,0.777075,0.922852,-0.010473,0.000137,0.008140
omega,gs,3,5,12,1.000e-12,26,0.781144,0.923950,-0.009380,0.005580,-0.004927
omega,gs,3,5,12,1.000e-12,27,0.780066,0.921021,-0.006682,-0.005605,-0.013264
omega,gs,3,5,12,1.000e-12,28,0.776075,0.922119,0.010451,0.008987,-0.003915
omega,gs,3,5,12,1.000e-12,29,0.778382,0.920776,-0.013821,-0.001674,0.000472
omega,gs,3,5,12,1.000e-12,30,0.776050,0.919861,0.003923,-0.000327,-0.001739
