mode,update,p,q,K,delta,ln_inv_delta,lambda1,lambda2,mean_ln_d1,t_sat,t_dec,r_floor,t_pred_1rad,t_pred_2pi,growth_slope,growth_pts,r_at_T
omega,gs,17,23,12,1.000e-12,27.6310,9.2497,0.6045,-27.6311,5,5,0.0234,3.987,3.186,9.2621,2,-0.000038
omega,gs,17,23,12,1.000e-10,23.0259,9.2497,0.6045,-23.0259,4,5,0.0234,3.489,2.688,9.2618,2,-0.002334
omega,gs,17,23,12,1.000e-08,18.4207,9.2497,0.6045,-18.4207,4,4,0.0234,2.991,2.190,nan,1,-0.003609
omega,gs,17,23,12,1.000e-06,13.8155,9.2497,0.6045,-13.8155,3,4,0.0234,2.494,1.692,nan,1,-0.013552
omega,gs,17,23,12,1.000e-04,9.2103,9.2497,0.6045,-9.2103,3,27,0.0234,1.996,1.194,nan,0,-0.002154
omega,gs,17,23,12,1.000e-02,4.6052,9.2497,0.6045,-4.6052,2,3,0.0234,1.498,0.697,nan,0,-0.002846
omega,gs,17,23,12,1.000e-01,2.3026,9.2497,0.6045,-2.3026,2,2,0.0234,1.249,0.448,nan,0,-0.005858
