mode,update,p,q,K,delta,ln_inv_delta,lambda1,lambda2,mean_ln_d1,t_sat,t_dec,r_floor,t_pred_1rad,t_pred_2pi,growth_slope,growth_pts,r_at_T
omega,jacobi,3,5,20,1.000e-12,27.6310,4.0996,3.2782,-27.6317,8,9,0.0234,7.740,7.188,4.0934,6,0.001944
omega,jacobi,3,5,20,1.000e-10,23.0259,4.0996,3.2782,-23.0259,7,38,0.0234,6.617,6.065,4.0932,5,0.000243
omega,jacobi,3,5,20,1.000e-08,18.4207,4.0996,3.2782,-18.4207,6,12,0.0234,5.493,4.942,4.0842,3,-0.012042
omega,jacobi,3,5,20,1.000e-06,13.8155,4.0996,3.2782,-13.8155,5,6,0.0234,4.370,3.818,4.0674,2,-0.006990
omega,jacobi,3,5,20,1.000e-04,9.2103,4.0996,3.2782,-9.2103,4,5,0.0234,3.247,2.695,nan,1,-0.008783
omega,jacobi,3,5,20,1.000e-02,4.6052,4.0996,3.2782,-4.6052,3,3,0.0234,2.123,1.572,nan,0,0.003846
omega,jacobi,3,5,20,1.000e-01,2.3026,4.0996,3.2782,-2.3026,2,3,0.0234,1.562,1.010,nan,0,-0.000569
