mode,update,p,q,K,delta,ln_inv_delta,lambda1,lambda2,mean_ln_d1,t_sat,t_dec,r_floor,t_pred_1rad,t_pred_2pi,growth_slope,growth_pts,r_at_T
omega,gs,3,5,12,1.000e-12,27.6310,5.7778,1.0186,-27.6310,7,8,0.0234,5.782,5.100,5.7824,4,0.001757
omega,gs,3,5,12,1.000e-10,23.0259,5.7778,1.0186,-23.0259,6,67,0.0234,4.985,4.303,5.7768,3,0.007140
omega,gs,3,5,12,1.000e-08,18.4207,5.7778,1.0186,-18.4207,5,6,0.0234,4.188,3.506,5.7658,2,-0.009250
omega,gs,3,5,12,1.000e-06,13.8155,5.7778,1.0186,-13.8155,4,5,0.0234,3.391,2.709,5.7646,2,0.014405
omega,gs,3,5,12,1.000e-04,9.2103,5.7778,1.0186,-9.2103,3,4,0.0234,2.594,1.912,nan,1,0.001740
omega,gs,3,5,12,1.000e-02,4.6052,5.7778,1.0186,-4.6052,2,3,0.0234,1.797,1.115,nan,0,-0.006762
omega,gs,3,5,12,1.000e-01,2.3026,5.7778,1.0186,-2.3026,2,3,0.0234,1.399,0.717,nan,0,-0.000216
