mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
K,jacobi,3,5,12,1.000e-12,1,-27.740981,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,12,1.000e-12,2,-24.210496,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,12,1.000e-12,3,-20.630895,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,12,1.000e-12,4,-17.044253,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,12,1.000e-12,5,-13.455989,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,12,1.000e-12,6,-9.862850,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,12,1.000e-12,7,-6.279855,0.000000,0.999949,0.999948,0.999949
K,jacobi,3,5,12,1.000e-12,8,-2.689587,0.059753,0.944029,0.946720,0.944418
K,jacobi,3,5,12,1.000e-12,9,0.076193,0.662292,0.326278,0.338550,0.313698
K,jacobi,3,5,12,1.000e-12,10,0.720244,0.898438,0.029451,0.023699,0.025763
K,jacobi,3,5,12,1.000e-12,11,0.771887,0.915833,-0.008960,0.002685,0.001107
K,jacobi,3,5,12,1.000e-12,12,0.777795,0.919983,0.000018,0.005397,0.007005
K,jacobi,3,5,12,1.000e-12,13,0.774068,0.917358,0.003483,0.008553,-0.006069
K,jacobi,3,5,12,1.000e-12,14,0.773208,0.920410,0.000082,0.000890,0.003308
K,jacobi,3,5,12,1.000e-12,15,0.777384,0.920166,-0.009339,0.000403,-0.001484
K,jacobi,3,5,12,1.000e-12,16,0.776853,0.921692,0.002273,-0.000989,-0.008598
K,jacobi,3,5,12,1.000e-12,17,0.772814,0.918274,0.013093,0.006086,-0.004323
K,jacobi,3,5,12,1.000e-12,18,0.778366,0.921997,-0.007688,0.000762,0.005574
K,jacobi,3,5,12,1.000e-12,19,0.777464,0.919922,-0.012334,-0.000455,-0.002795
K,jacobi,3,5,12,1.000e-12,20,0.780687,0.922424,0.005755,-0.005353,-0.000189
K,jacobi,3,5,12,1.000e-12,21,0.786025,0.924377,-0.013759,-0.008057,-0.001593
K,jacobi,3,5,12,1.000e-12,22,0.775992,0.920654,0.011651,-0.005951,0.004394
K,jacobi,3,5,12,1.000e-12,23,0.773576,0.919373,0.008338,-0.005594,0.000372
K,jacobi,3,5,12,1.000e-12,24,0.779285,0.920349,-0.000986,-0.003895,0.000762
K,jacobi,3,5,12,1.000e-12,25,0.784781,0.925354,-0.000942,-0.002369,-0.010014
K,jacobi,3,5,12,1.000e-12,26,0.778065,0.918152,0.004551,-0.017795,0.006794
K,jacobi,3,5,12,1.000e-12,27,0.777919,0.919983,-0.004627,-0.007630,-0.007403
K,jacobi,3,5,12,1.000e-12,28,0.773840,0.916992,-0.002504,0.014519,0.000086
K,jacobi,3,5,12,1.000e-12,29,0.786837,0.924988,-0.015186,-0.003101,-0.007590
K,jacobi,3,5,12,1.000e-12,30,0.779696,0.919983,-0.005497,-0.006376,-0.003737
K,jacobi,3,5,12,1.000e-12,31,0.771657,0.918396,0.010336,0.017972,-0.005004
K,jacobi,3,5,12,1.000e-12,32,0.777780,0.922180,0.002692,-0.003267,0.002021
K,jacobi,3,5,12,1.000e-12,33,0.781022,0.921814,0.003394,-0.011858,-0.005331
K,jacobi,3,5,12,1.000e-12,34,0.773302,0.922668,0.001418,0.011195,0.005791
K,jacobi,3,5,12,1.000e-12,35,0.772126,0.919556,-0.002688,0.006837,0.008448
K,jacobi,3,5,12,1.000e-12,36,0.759936,0.913452,0.020792,0.020014,0.014517
K,jacobi,3,5,12,1.000e-12,37,0.777637,0.920471,0.003053,-0.008004,0.005886
K,jacobi,3,5,12,1.000e-12,38,0.775882,0.919739,0.004181,0.003109,0.001453
K,jacobi,3,5,12,1.000e-12,39,0.776199,0.919678,0.006280,0.005305,0.001643
K,jacobi,3,5,12,1.000e-12,40,0.772278,0.920776,0.004011,-0.000268,0.007366
K,jacobi,3,5,12,1.000e-12,41,0.779983,0.921814,-0.001249,-0.004056,0.005645
K,jacobi,3,5,12,1.000e-12,42,0.780187,0.921265,0.009027,0.002975,-0.010043
K,jacobi,3,5,12,1.000e-12,43,0.776297,0.919189,0.006633,-0.003694,0.001313
K,jacobi,3,5,12,1.000e-12,44,0.775881,0.920593,-0.002067,0.006492,-0.000051
K,jacobi,3,5,12,1.000e-12,45,0.773574,0.918518,0.003741,0.011778,-0.018045
K,jacobi,3,5,12,1.000e-12,46,0.777067,0.920898,0.004032,-0.001128,-0.003318
K,jacobi,3,5,12,1.000e-12,47,0.773429,0.917419,-0.010440,0.007583,0.004231
K,jacobi,3,5,12,1.000e-12,48,0.773440,0.918091,-0.003823,-0.006816,0.016877
K,jacobi,3,5,12,1.000e-12,49,0.776648,0.919556,-0.001448,-0.002359,-0.006184
K,jacobi,3,5,12,1.000e-12,50,0.780131,0.922668,-0.003523,0.001505,-0.012800
K,jacobi,3,5,12,1.000e-12,51,0.778928,0.917969,-0.008453,0.003733,-0.012135
K,jacobi,3,5,12,1.000e-12,52,0.781445,0.923279,0.015666,-0.006267,-0.007750
K,jacobi,3,5,12,1.000e-12,53,0.773809,0.921570,0.018734,0.018201,-0.013073
K,jacobi,3,5,12,1.000e-12,54,0.769764,0.919312,0.003042,0.020785,-0.006019
K,jacobi,3,5,12,1.000e-12,55,0.779600,0.921509,0.001545,-0.004846,-0.007289
K,jacobi,3,5,12,1.000e-12,56,0.771728,0.918152,0.020249,-0.003694,-0.006362
