mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
omega,gs,17,23,12,1.000e-12,58,0.778648,0.923157,0.004481,0.001161,-0.003536
omega,gs,17,23,12,1.000e-12,59,0.778218,0.922058,0.010172,0.001546,-0.009682
omega,gs,17,23,12,1.000e-12,60,0.775556,0.921143,0.003627,-0.002665,0.001237
omega,gs,17,23,12,1.000e-12,61,0.792876,0.926270,-0.008184,-0.016318,-0.018162
omega,gs,17,23,12,1.000e-12,62,0.776062,0.919617,-0.001939,-0.002706,0.015317
omega,gs,17,23,12,1.000e-12,63,0.777483,0.920593,-0.013717,0.003131,0.010672
omega,gs,17,23,12,1.000e-12,64,0.779453,0.922852,0.005489,0.004506,0.003714
omega,gs,17,23,12,1.000e-12,65,0.782288,0.922852,-0.006350,-0.016598,-0.002284
omega,gs,17,23,12,1.000e-12,66,0.772428,0.918030,-0.000235,-0.003609,0.017841
omega,gs,17,23,12,1.000e-12,67,0.781436,0.922180,-0.005864,-0.009745,-0.001384
omega,gs,17,23,12,1.000e-12,68,0.781389,0.923279,0.011810,-0.007213,0.004403
omega,gs,17,23,12,1.000e-12,69,0.777426,0.921265,0.003022,0.011219,0.001691
omega,gs,17,23,12,1.000e-12,70,0.772986,0.917419,0.002309,-0.007879,0.007612
omega,gs,17,23,12,1.000e-12,71,0.769419,0.915894,-0.007818,0.008835,0.005343
omega,gs,17,23,12,1.000e-12,72,0.773712,0.919678,0.008060,-0.003208,-0.001533
omega,gs,17,23,12,1.000e-12,73,0.772554,0.919495,-0.007398,0.009202,0.007083
omega,gs,17,23,12,1.000e-12,74,0.769616,0.917969,0.005702,-0.007748,0.009249
omega,gs,17,23,12,1.000e-12,75,0.776669,0.919434,0.004481,0.006327,-0.002880
omega,gs,17,23,12,1.000e-12,76,0.778251,0.920959,-0.005670,0.001593,-0.002639
omega,gs,17,23,12,1.000e-12,77,0.778624,0.920654,-0.015649,-0.005363,-0.000559
omega,gs,17,23,12,1.000e-12,78,0.779148,0.919678,-0.004176,0.000367,-0.004942
omega,gs,17,23,12,1.000e-12,79,0.781423,0.924316,-0.007673,-0.006087,0.006671
omega,gs,17,23,12,1.000e-12,80,0.776535,0.922668,-0.000038,0.003900,-0.001913
omega,gs,17,23,12,1.000e-10,1,-23.025852,0.000000,1.000000,1.000000,1.000000
omega,gs,17,23,12,1.000e-10,2,-13.770693,0.000000,1.000000,1.000000,1.000000
omega,gs,17,23,12,1.000e-10,3,-4.508888,0.000000,1.000000,0.999058,1.000000
omega,gs,17,23,12,1.000e-10,4,0.584029,0.849121,0.292361,0.025090,0.289321
omega,gs,17,23,12,1.000e-10,5,0.773030,0.920105,0.002971,0.004022,0.002867
omega,gs,17,23,12,1.000e-10,6,0.779486,0.920898,-0.008774,0.001653,0.007557
omega,gs,17,23,12,1.000e-10,7,0.769974,0.916687,0.015325,-0.001152,0.011435
omega,gs,17,23,12,1.000e-10,8,0.779867,0.920837,-0.002646,0.002657,-0.005620
omega,gs,17,23,12,1.000e-10,9,0.774283,0.920105,0.010584,0.001924,0.014202
omega,gs,17,23,12,1.000e-10,10,0.780652,0.922180,-0.006158,0.004245,-0.005757
omega,gs,17,23,12,1.000e-10,11,0.783035,0.921448,-0.001823,-0.004765,-0.005094
omega,gs,17,23,12,1.000e-10,12,0.779293,0.922791,-0.003621,-0.006902,0.001205
omega,gs,17,23,12,1.000e-10,13,0.778960,0.919922,-0.003479,0.003642,0.001705
omega,gs,17,23,12,1.000e-10,14,0.780095,0.920776,0.007450,-0.013209,-0.001597
omega,gs,17,23,12,1.000e-10,15,0.777628,0.921753,0.004451,0.003096,-0.005137
omega,gs,17,23,12,1.000e-10,16,0.778392,0.921082,-0.000383,-0.011569,0.000004
omega,gs,17,23,12,1.000e-10,17,0.778517,0.920227,-0.001178,0.000248,-0.007681
omega,gs,17,23,12,1.000e-10,18,0.776902,0.919373,0.004303,-0.001570,-0.000955
omega,gs,17,23,12,1.000e-10,19,0.769826,0.916626,0.003508,0.008839,-0.000165
omega,gs,17,23,12,1.000e-10,20,0.783918,0.923035,-0.000328,0.001363,-0.010530
omega,gs,17,23,12,1.000e-10,21,0.777881,0.920166,-0.010245,-0.015395,0.007084
omega,gs,17,23,12,1.000e-10,22,0.776410,0.922241,-0.005944,0.003402,-0.001848
omega,gs,17,23,12,1.000e-10,23,0.775214,0.919556,0.003060,-0.008095,0.012719
omega,gs,17,23,12,1.000e-10,24,0.779073,0.922363,0.007752,-0.008573,0.005691
omega,gs,17,23,12,1.000e-10,25,0.777435,0.919250,-0.005488,-0.004537,0.007165
omega,gs,17,23,12,1.000e-10,26,0.772677,0.919861,0.006370,-0.003537,0.000940
omega,gs,17,23,12,1.000e-10,27,0.776416,0.920166,0.001300,0.005539,-0.005326
omega,gs,17,23,12,1.000e-10,28,0.775993,0.919128,0.002453,-0.000992,0.004413
omega,gs,17,23,12,1.000e-10,29,0.778870,0.921387,-0.013204,0.011469,0.000965
omega,gs,17,23,12,1.000e-10,30,0.774189,0.920776,0.007337,0.001002,-0.004621
omega,gs,17,23,12,1.000e-10,31,0.774312,0.918457,-0.007693,0.016055,-0.008175
omega,gs,17,23,12,1.000e-10,32,0.781569,0.924438,-0.006912,-0.013322,0.006528
omega,gs,17,23,12,1.000e-10,33,0.783722,0.920776,-0.001986,-0.012465,-0.012822
