mode,update,p,q,K,delta,ln_inv_delta,lambda1,lambda2,mean_ln_d1,t_sat,t_dec,r_floor,t_pred_1rad,t_pred_2pi,growth_slope,growth_pts,r_at_T
pq,jacobi,3,5,20,1.000e+00,nan,4.0996,3.2782,0.7349,1,22,0.0234,0.821,0.269,nan,0,0.005791
pq,jacobi,3,5,20,2.000e+00,nan,4.0996,3.2782,0.7493,1,2,0.0234,0.817,0.266,nan,0,-0.001082
