mode,update,p,q,K,delta,ln_inv_delta,lambda1,lambda2,mean_ln_d1,t_sat,t_dec,r_floor,t_pred_1rad,t_pred_2pi,growth_slope,growth_pts,r_at_T
pq,gs,3,5,6,1.000e+00,nan,4.4139,1.0101,0.7538,1,2,0.0234,0.829,0.246,nan,0,-0.000669
pq,gs,3,5,6,2.000e+00,nan,4.4139,1.0101,0.7498,1,56,0.0234,0.830,0.247,nan,0,0.005414
