mode,update,p,q,K,delta,ln_inv_delta,lambda1,lambda2,mean_ln_d1,t_sat,t_dec,r_floor,t_pred_1rad,t_pred_2pi,growth_slope,growth_pts,r_at_T
omega,gs,7,11,12,1.000e-12,27.6310,7.4747,0.9034,-27.6311,5,6,0.0234,4.697,3.943,7.4845,3,-0.001158
omega,gs,7,11,12,1.000e-10,23.0259,7.4747,0.9034,-23.0259,5,6,0.0234,4.081,3.326,7.4947,2,-0.006342
omega,gs,7,11,12,1.000e-08,18.4207,7.4747,0.9034,-18.4207,4,5,0.0234,3.464,2.710,7.4950,2,0.004161
omega,gs,7,11,12,1.000e-06,13.8155,7.4747,0.9034,-13.8155,4,17,0.0234,2.848,2.094,nan,1,-0.006940
omega,gs,7,11,12,1.000e-04,9.2103,7.4747,0.9034,-9.2103,3,3,0.0234,2.232,1.478,nan,0,-0.004311
omega,gs,7,11,12,1.000e-02,4.6052,7.4747,0.9034,-4.6052,2,3,0.0234,1.616,0.862,nan,0,0.009486
omega,gs,7,11,12,1.000e-01,2.3026,7.4747,0.9034,-2.3026,2,32,0.0234,1.308,0.554,nan,0,0.007714
