mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
omega,gs,3,5,6,1.000e-12,1,-27.630933,0.000000,1.000000,1.000000,1.000000
omega,gs,3,5,6,1.000e-12,2,-23.152332,0.000000,1.000000,1.000000,1.000000
omega,gs,3,5,6,1.000e-12,3,-18.735098,0.000000,1.000000,1.000000,1.000000
omega,gs,3,5,6,1.000e-12,4,-14.330745,0.000000,1.000000,1.000000,1.000000
omega,gs,3,5,6,1.000e-12,5,-9.899171,0.000000,1.000000,1.000000,1.000000
omega,gs,3,5,6,1.000e-12,6,-5.486415,0.002136,0.999955,0.992537,0.999956
omega,gs,3,5,6,1.000e-12,7,-1.513201,0.363342,0.842964,0.536491,0.848824
omega,gs,3,5,6,1.000e-12,8,0.331002,0.787415,0.261727,0.099903,0.258397
omega,gs,3,5,6,1.000e-12,9,0.717949,0.900757,0.032603,0.012463,0.052097
omega,gs,3,5,6,1.000e-12,10,0.769546,0.920715,-0.000381,0.000494,0.009431
omega,gs,3,5,6,1.000e-12,11,0.776898,0.921326,0.013342,0.001485,-0.002926
omega,gs,3,5,6,1.000e-12,12,0.773715,0.918579,0.006784,-0.019148,-0.001351
omega,gs,3,5,6,1.000e-12,13,0.780325,0.919800,-0.001904,-0.013020,-0.004403
omega,gs,3,5,6,1.000e-12,14,0.776196,0.919800,-0.005077,0.005415,-0.003026
omega,gs,3,5,6,1.000e-12,15,0.770702,0.915527,0.004269,0.002665,0.001319
omega,gs,3,5,6,1.000e-12,16,0.778060,0.920593,-0.002858,-0.001198,0.000946
omega,gs,3,5,6,1.000e-12,17,0.782355,0.923035,-0.002027,-0.010412,-0.005997
omega,gs,3,5,6,1.000e-12,18,0.778479,0.919617,-0.000485,-0.002359,-0.001969
omega,gs,3,5,6,1.000e-12,19,0.775551,0.917297,-0.005909,-0.002865,0.006745
omega,gs,3,5,6,1.000e-12,20,0.785142,0.922058,-0.008889,-0.012303,0.000701
omega,gs,3,5,6,1.000e-12,21,0.776364,0.920532,-0.002737,-0.000596,0.004854
omega,gs,3,5,6,1.000e-12,22,0.771729,0.919189,0.006673,-0.002979,0.004907
omega,gs,3,5,6,1.000e-12,23,0.767621,0.916748,-0.005380,0.015117,0.000719
omega,gs,3,5,6,1.000e-12,24,0.784093,0.921265,-0.008997,0.004780,-0.002665
omega,gs,3,5,6,1.000e-12,25,0.775960,0.918274,-0.001941,0.003797,-0.008799
omega,gs,3,5,6,1.000e-12,26,0.777417,0.922668,-0.001680,0.011511,-0.006927
omega,gs,3,5,6,1.000e-12,27,0.784323,0.924072,-0.005698,0.005731,-0.001628
omega,gs,3,5,6,1.000e-12,28,0.775580,0.921753,-0.007602,-0.011142,0.001651
omega,gs,3,5,6,1.000e-12,29,0.780208,0.920227,0.005650,-0.002202,-0.011392
omega,gs,3,5,6,1.000e-12,30,0.777827,0.920776,-0.014414,-0.010620,0.003813
omega,gs,3,5,6,1.000e-12,31,0.770924,0.919495,0.004429,-0.003447,0.020957
omega,gs,3,5,6,1.000e-12,32,0.775095,0.921326,-0.002350,-0.002142,0.003554
omega,gs,3,5,6,1.000e-12,33,0.780564,0.920532,-0.013334,-0.000491,-0.010826
omega,gs,3,5,6,1.000e-12,34,0.772764,0.918884,0.008433,0.002880,-0.001052
omega,gs,3,5,6,1.000e-12,35,0.784292,0.923340,-0.008607,0.004316,-0.009047
omega,gs,3,5,6,1.000e-12,36,0.777999,0.923889,-0.002810,0.007777,-0.006344
omega,gs,3,5,6,1.000e-12,37,0.777191,0.919983,-0.001106,-0.005228,0.011338
omega,gs,3,5,6,1.000e-12,38,0.780204,0.922668,-0.004309,0.004477,-0.003998
omega,gs,3,5,6,1.000e-12,39,0.770124,0.920349,0.010096,0.001072,0.002166
omega,gs,3,5,6,1.000e-12,40,0.774207,0.919983,0.000700,0.003913,0.003502
omega,gs,3,5,6,1.000e-12,41,0.774296,0.920105,-0.006519,0.005405,-0.000267
omega,gs,3,5,6,1.000e-12,42,0.776482,0.921753,0.001124,0.000733,-0.003947
omega,gs,3,5,6,1.000e-12,43,0.775522,0.917908,0.000854,0.001744,0.007649
omega,gs,3,5,6,1.000e-12,44,0.769518,0.921692,0.000827,0.022871,-0.001219
omega,gs,3,5,6,1.000e-12,45,0.769650,0.919189,0.006976,0.004950,-0.002309
omega,gs,3,5,6,1.000e-12,46,0.776080,0.920044,-0.000238,-0.001432,-0.009966
omega,gs,3,5,6,1.000e-12,47,0.772474,0.918335,-0.008617,-0.004851,0.013690
omega,gs,3,5,6,1.000e-12,48,0.776609,0.922791,0.009006,0.000717,-0.004901
omega,gs,3,5,6,1.000e-12,49,0.782945,0.922974,-0.013733,-0.012871,0.008179
omega,gs,3,5,6,1.000e-12,50,0.769882,0.918518,0.010702,0.002543,-0.000920
omega,gs,3,5,6,1.000e-12,51,0.777196,0.921265,0.008505,-0.013011,-0.003100
omega,gs,3,5,6,1.000e-12,52,0.779688,0.920654,-0.011375,0.000267,-0.004159
omega,gs,3,5,6,1.000e-12,53,0.777973,0.922974,0.001863,-0.003784,-0.009543
omega,gs,3,5,6,1.000e-12,54,0.770950,0.920044,0.003138,0.005007,0.001073
omega,gs,3,5,6,1.000e-12,55,0.777309,0.920593,0.005569,0.003751,-0.004613
omega,gs,3,5,6,1.000e-12,56,0.772031,0.920105,0.010062,0.010397,0.010420
omega,gs,3,5,6,1.000e-12,57,0.773446,0.918640,0.000195,0.002926,-0.004239
omega,gs,3,5,6,1.000e-12,58,0.775866,0.920593,-0.000073,-0.003945,-0.001819
omega,gs,3,5,6,1.000e-12,59,0.773948,0.919739,0.006933,-0.000335,0.010542
omega,gs,3,5,6,1.000e-12,60,0.776900,0.922180,-0.008572,0.007317,-0.002771
omega,gs,3,5,6,1.000e-12,61,0.778124,0.918762,-0.003035,0.006992,-0.017623
omega,gs,3,5,6,1.000e-12,62,0.785009,0.926453,-0.010768,-0.005869,-0.012267
omega,gs,3,5,6,1.000e-12,63,0.778325,0.921692,0.006318,-0.002085,-0.020054
omega,gs,3,5,6,1.000e-12,64,0.774568,0.920715,-0.000518,0.004486,0.005539
omega,gs,3,5,6,1.000e-12,65,0.776936,0.919434,-0.002993,-0.001375,0.005447
omega,gs,3,5,6,1.000e-12,66,0.778806,0.920715,0.003825,-0.008948,-0.009105
omega,gs,3,5,6,1.000e-12,67,0.783291,0.923767,-0.005849,-0.011322,-0.013318
omega,gs,3,5,6,1.000e-12,68,0.778950,0.919800,0.007133,-0.015325,-0.011366
omega,gs,3,5,6,1.000e-12,69,0.771797,0.916382,0.007845,0.003354,-0.001438
omega,gs,3,5,6,1.000e-12,70,0.772865,0.921265,-0.000881,-0.004356,0.021978
omega,gs,3,5,6,1.000e-12,71,0.788275,0.925354,-0.009033,-0.016118,-0.019461
omega,gs,3,5,6,1.000e-12,72,0.771914,0.919250,-0.001822,0.006653,0.008607
omega,gs,3,5,6,1.000e-12,73,0.774617,0.920837,0.012949,-0.004217,0.002745
omega,gs,3,5,6,1.000e-12,74,0.775309,0.920837,0.001355,0.006576,0.004198
omega,gs,3,5,6,1.000e-12,75,0.772097,0.919067,-0.002744,0.002474,0.009401
omega,gs,3,5,6,1.000e-12,76,0.779639,0.921509,-0.013392,-0.018194,0.002568
omega,gs,3,5,6,1.000e-12,77,0.773479,0.920166,-0.009749,-0.002384,0.009678
omega,gs,3,5,6,1.000e-12,78,0.778882,0.922852,-0.004267,-0.004371,0.001300
omega,gs,3,5,6,1.000e-12,79,0.780309,0.924988,0.002469,-0.004575,0.003258
omega,gs,3,5,6,1.000e-12,80,0.777137,0.919739,-0.012172,-0.007782,0.009614
