mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
K,jacobi,3,5,20,1.000e-12,1,-27.742700,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,20,1.000e-12,2,-23.687195,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,20,1.000e-12,3,-19.600521,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,20,1.000e-12,4,-15.516802,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,20,1.000e-12,5,-11.416602,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,20,1.000e-12,6,-7.317891,0.000000,0.999997,0.999996,0.999997
K,jacobi,3,5,20,1.000e-12,7,-3.228521,0.018066,0.980992,0.982343,0.980834
K,jacobi,3,5,20,1.000e-12,8,0.106404,0.667725,0.325299,0.323996,0.322881
K,jacobi,3,5,20,1.000e-12,9,0.743398,0.908569,0.017383,0.026925,0.025706
K,jacobi,3,5,20,1.000e-12,10,0.773254,0.920166,-0.005273,0.016868,0.004741
K,jacobi,3,5,20,1.000e-12,11,0.778060,0.920715,0.002032,0.011676,0.003511
K,jacobi,3,5,20,1.000e-12,12,0.778432,0.920715,0.002793,-0.002290,-0.017046
K,jacobi,3,5,20,1.000e-12,13,0.771239,0.916443,0.009176,0.000448,0.007955
K,jacobi,3,5,20,1.000e-12,14,0.781587,0.923645,0.001705,0.008137,-0.008445
K,jacobi,3,5,20,1.000e-12,15,0.768467,0.914795,0.007841,0.009225,0.006147
K,jacobi,3,5,20,1.000e-12,16,0.776042,0.923645,-0.002599,-0.000129,0.014207
K,jacobi,3,5,20,1.000e-12,17,0.774301,0.920105,-0.007789,0.009011,0.007059
K,jacobi,3,5,20,1.000e-12,18,0.773262,0.918091,-0.004513,0.009001,-0.012497
K,jacobi,3,5,20,1.000e-12,19,0.774341,0.921021,0.002827,0.010800,-0.007144
K,jacobi,3,5,20,1.000e-12,20,0.781402,0.922424,-0.003172,-0.005875,0.000746
K,jacobi,3,5,20,1.000e-12,21,0.778853,0.921448,-0.003270,-0.006405,0.014390
K,jacobi,3,5,20,1.000e-12,22,0.774830,0.919189,-0.001336,0.008640,-0.008775
K,jacobi,3,5,20,1.000e-12,23,0.775469,0.919983,-0.002855,-0.005007,-0.001216
K,jacobi,3,5,20,1.000e-12,24,0.776045,0.917725,-0.001088,0.005414,0.000117
K,jacobi,3,5,20,1.000e-12,25,0.769170,0.917908,0.001018,0.009389,0.015082
K,jacobi,3,5,20,1.000e-12,26,0.776332,0.920227,-0.000262,-0.002483,0.009510
K,jacobi,3,5,20,1.000e-12,27,0.770844,0.916382,0.001797,-0.000259,0.006531
K,jacobi,3,5,20,1.000e-12,28,0.779373,0.920837,-0.004039,-0.003662,0.002148
K,jacobi,3,5,20,1.000e-12,29,0.775798,0.920654,-0.003908,0.011320,-0.015432
K,jacobi,3,5,20,1.000e-12,30,0.773040,0.918762,-0.002139,-0.010018,0.008128
K,jacobi,3,5,20,1.000e-12,31,0.777500,0.919800,-0.000279,-0.001659,0.007543
K,jacobi,3,5,20,1.000e-12,32,0.773450,0.920898,0.003408,0.005978,-0.005329
K,jacobi,3,5,20,1.000e-12,33,0.767570,0.917358,-0.005069,0.011346,0.004697
K,jacobi,3,5,20,1.000e-12,34,0.775680,0.920532,-0.004948,0.003627,-0.004184
K,jacobi,3,5,20,1.000e-12,35,0.773384,0.918518,-0.002804,0.010868,0.008057
K,jacobi,3,5,20,1.000e-12,36,0.776882,0.921143,0.006587,0.002476,-0.006195
K,jacobi,3,5,20,1.000e-12,37,0.777998,0.921631,-0.005272,0.008583,0.006481
K,jacobi,3,5,20,1.000e-12,38,0.776768,0.920959,0.004637,0.008611,-0.003986
K,jacobi,3,5,20,1.000e-12,39,0.773282,0.919128,0.010259,0.003718,-0.001334
K,jacobi,3,5,20,1.000e-12,40,0.774532,0.918762,0.010615,-0.013626,0.004609
K,jacobi,3,5,20,1.000e-12,41,0.779050,0.921387,0.006944,-0.008055,-0.006133
K,jacobi,3,5,20,1.000e-12,42,0.772468,0.919983,0.005046,0.010193,0.007091
K,jacobi,3,5,20,1.000e-12,43,0.772959,0.918884,0.007371,0.002505,-0.000719
K,jacobi,3,5,20,1.000e-12,44,0.775790,0.922302,0.006143,0.016191,0.001809
K,jacobi,3,5,20,1.000e-12,45,0.776026,0.919312,-0.001229,-0.000568,-0.007053
K,jacobi,3,5,20,1.000e-12,46,0.771993,0.916260,0.022219,-0.001594,-0.004529
K,jacobi,3,5,20,1.000e-12,47,0.769518,0.915161,0.008503,0.007716,0.008837
K,jacobi,3,5,20,1.000e-12,48,0.776934,0.920410,-0.003370,-0.000974,-0.003590
K,jacobi,3,5,20,1.000e-12,49,0.776489,0.922363,-0.008288,0.006174,0.000397
K,jacobi,3,5,20,1.000e-12,50,0.774446,0.918457,0.005136,0.003333,0.000678
K,jacobi,3,5,20,1.000e-12,51,0.778401,0.919983,-0.000789,-0.004622,0.010231
K,jacobi,3,5,20,1.000e-12,52,0.772955,0.917114,0.017001,-0.000421,-0.000863
K,jacobi,3,5,20,1.000e-12,53,0.774154,0.918579,-0.013774,0.002181,0.008469
K,jacobi,3,5,20,1.000e-12,54,0.776420,0.918091,0.007349,-0.008108,-0.000083
K,jacobi,3,5,20,1.000e-12,55,0.778835,0.920471,0.014033,-0.000899,-0.003615
K,jacobi,3,5,20,1.000e-12,56,0.777760,0.919983,-0.004209,-0.010658,0.002195
K,jacobi,3,5,20,1.000e-12,57,0.785049,0.923401,-0.013380,0.000765,-0.001956
K,jacobi,3,5,20,1.000e-12,58,0.773923,0.919006,0.003954,-0.008318,0.017867
K,jacobi,3,5,20,1.000e-12,59,0.774789,0.919617,0.004395,0.006342,-0.000788
K,jacobi,3,5,20,1.000e-12,60,0.774876,0.918152,-0.001985,0.005031,0.000083
K,jacobi,3,5,20,1.000e-12,61,0.774395,0.918884,-0.003409,0.011700,0.002350
K,jacobi,3,5,20,1.000e-12,62,0.782663,0.922668,0.002184,0.001895,-0.010172
K,jacobi,3,5,20,1.000e-12,63,0.781635,0.923218,-0.010391,-0.014706,0.001940
K,jacobi,3,5,20,1.000e-12,64,0.777155,0.921265,-0.004160,-0.000127,-0.009536
K,jacobi,3,5,20,1.000e-12,65,0.783317,0.922607,-0.011885,0.007701,-0.013494
K,jacobi,3,5,20,1.000e-12,66,0.776195,0.921631,0.003663,-0.004097,0.001642
K,jacobi,3,5,20,1.000e-12,67,0.781507,0.922363,-0.010708,-0.008470,0.011044
K,jacobi,3,5,20,1.000e-12,68,0.773832,0.919800,0.005578,-0.009345,0.000467
K,jacobi,3,5,20,1.000e-12,69,0.778987,0.919128,-0.004615,0.000703,-0.010828
K,jacobi,3,5,20,1.000e-12,70,0.774947,0.921997,0.003100,0.002549,0.000143
K,jacobi,3,5,20,1.000e-12,71,0.782077,0.924927,-0.007903,-0.023491,0.006633
K,jacobi,3,5,20,1.000e-12,72,0.781267,0.921875,0.010464,-0.003702,-0.015160
K,jacobi,3,5,20,1.000e-12,73,0.773522,0.917419,-0.009612,0.010328,0.013213
K,jacobi,3,5,20,1.000e-12,74,0.780376,0.920654,-0.011207,-0.009780,0.000948
K,jacobi,3,5,20,1.000e-12,75,0.774752,0.918152,0.017717,0.004581,0.005063
K,jacobi,3,5,20,1.000e-12,76,0.770192,0.917664,0.013320,0.007823,-0.005479
K,jacobi,3,5,20,1.000e-12,77,0.777982,0.921204,0.004610,-0.015003,0.002082
K,jacobi,3,5,20,1.000e-12,78,0.776645,0.919006,0.001938,-0.008959,0.002205
K,jacobi,3,5,20,1.000e-12,79,0.772262,0.918945,0.004291,0.000210,0.005665
K,jacobi,3,5,20,1.000e-12,80,0.762372,0.913574,0.012624,0.010834,0.014705
K,jacobi,3,5,20,1.000e-10,1,-23.135853,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,20,1.000e-10,2,-19.080337,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,20,1.000e-10,3,-14.993694,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,20,1.000e-10,4,-10.909846,0.000000,1.000000,1.000000,1.000000
K,jacobi,3,5,20,1.000e-10,5,-6.809529,0.000000,0.999995,0.999995,0.999994
K,jacobi,3,5,20,1.000e-10,6,-2.711334,0.027039,0.972565,0.970745,0.971868
K,jacobi,3,5,20,1.000e-10,7,0.352108,0.750977,0.228542,0.244119,0.237251
K,jacobi,3,5,20,1.000e-10,8,0.760556,0.915771,0.005498,0.017737,0.009798
K,jacobi,3,5,20,1.000e-10,9,0.775558,0.919739,-0.008465,-0.001149,-0.006634
K,jacobi,3,5,20,1.000e-10,10,0.776561,0.920288,-0.006455,-0.005498,-0.003685
