mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
pq,gs,3,5,12,1.000e+00,1,0.797251,0.926819,-0.056133,0.007769,-0.052035
pq,gs,3,5,12,1.000e+00,2,0.776497,0.917725,-0.003089,-0.003792,0.015693
pq,gs,3,5,12,1.000e+00,3,0.780652,0.923706,-0.006950,-0.007222,-0.001041
pq,gs,3,5,12,1.000e+00,4,0.784862,0.924011,0.004050,-0.009005,-0.006902
pq,gs,3,5,12,1.000e+00,5,0.775061,0.918335,-0.007066,-0.004614,0.006377
pq,gs,3,5,12,1.000e+00,6,0.771004,0.918030,0.004643,0.013387,0.007409
pq,gs,3,5,12,1.000e+00,7,0.777372,0.919983,-0.003000,-0.001030,0.002880
pq,gs,3,5,12,1.000e+00,8,0.778362,0.921631,-0.003946,-0.000359,-0.006901
pq,gs,3,5,12,1.000e+00,9,0.779570,0.919861,-0.012597,0.006219,-0.005601
pq,gs,3,5,12,1.000e+00,10,0.769445,0.918335,-0.003258,0.017161,-0.003079
pq,gs,3,5,12,1.000e+00,11,0.773328,0.921875,0.004758,0.004052,-0.004017
pq,gs,3,5,12,1.000e+00,12,0.772483,0.920959,-0.000736,0.003882,0.009578
pq,gs,3,5,12,1.000e+00,13,0.777993,0.920166,0.002473,-0.012324,-0.001536
pq,gs,3,5,12,1.000e+00,14,0.779330,0.921814,-0.010167,-0.004224,-0.005539
pq,gs,3,5,12,1.000e+00,15,0.778237,0.920166,0.002544,-0.012375,0.001747
pq,gs,3,5,12,1.000e+00,16,0.778988,0.921814,0.001041,-0.008237,-0.005794
pq,gs,3,5,12,1.000e+00,17,0.774592,0.918884,-0.001176,-0.005534,-0.001501
pq,gs,3,5,12,1.000e+00,18,0.782684,0.919006,-0.010783,0.000453,0.002251
pq,gs,3,5,12,1.000e+00,19,0.778858,0.922913,0.008324,-0.002449,-0.002328
pq,gs,3,5,12,1.000e+00,20,0.770394,0.918274,0.010581,0.009580,0.003376
pq,gs,3,5,12,1.000e+00,21,0.774828,0.916870,0.000343,0.004010,-0.001326
pq,gs,3,5,12,1.000e+00,22,0.776588,0.920898,-0.011221,0.002228,0.006587
pq,gs,3,5,12,1.000e+00,23,0.781697,0.921509,-0.007756,0.002475,-0.007907
pq,gs,3,5,12,1.000e+00,24,0.777486,0.921326,0.022695,-0.001372,-0.006362
pq,gs,3,5,12,1.000e+00,25,0.774988,0.920593,0.012122,-0.000576,-0.009330
pq,gs,3,5,12,1.000e+00,26,0.779030,0.921509,-0.007198,-0.000774,-0.000051
pq,gs,3,5,12,1.000e+00,27,0.777399,0.922058,0.003492,0.003183,-0.002942
pq,gs,3,5,12,1.000e+00,28,0.775457,0.918884,0.003097,-0.010759,0.004049
pq,gs,3,5,12,1.000e+00,29,0.771706,0.920715,0.001750,0.008069,0.008475
pq,gs,3,5,12,1.000e+00,30,0.780136,0.922974,0.002788,-0.007528,0.002382
pq,gs,3,5,12,1.000e+00,31,0.773226,0.920349,0.001331,0.009769,0.006118
pq,gs,3,5,12,1.000e+00,32,0.779149,0.923340,-0.017382,0.002206,-0.000948
pq,gs,3,5,12,1.000e+00,33,0.778285,0.920959,-0.012042,0.005810,-0.002420
pq,gs,3,5,12,1.000e+00,34,0.780380,0.921692,-0.005723,-0.010078,0.001319
pq,gs,3,5,12,1.000e+00,35,0.775839,0.919006,0.003025,0.010554,-0.010073
pq,gs,3,5,12,1.000e+00,36,0.774651,0.918518,0.002326,0.002871,-0.001234
pq,gs,3,5,12,1.000e+00,37,0.772780,0.915100,0.006434,0.005448,-0.002297
pq,gs,3,5,12,1.000e+00,38,0.779471,0.919189,0.004505,0.001438,-0.001414
pq,gs,3,5,12,1.000e+00,39,0.779416,0.921021,-0.005046,-0.005210,-0.009284
pq,gs,3,5,12,1.000e+00,40,0.778245,0.922363,0.007597,-0.009371,0.011717
pq,gs,3,5,12,1.000e+00,41,0.778962,0.920959,0.008563,-0.006795,-0.002630
pq,gs,3,5,12,1.000e+00,42,0.781455,0.922119,-0.002556,-0.001424,-0.015379
pq,gs,3,5,12,1.000e+00,43,0.775436,0.920044,-0.003506,-0.003502,0.011054
pq,gs,3,5,12,1.000e+00,44,0.776785,0.920227,-0.006865,0.000060,-0.002843
pq,gs,3,5,12,1.000e+00,45,0.778657,0.922241,0.018731,-0.013487,-0.005740
