mode,update,p,q,K,delta,ln_inv_delta,lambda1,lambda2,mean_ln_d1,t_sat,t_dec,r_floor,t_pred_1rad,t_pred_2pi,growth_slope,growth_pts,r_at_T
omega,gs,3,5,6,1.000e-12,27.6310,4.4139,1.0101,-27.6309,8,10,0.0234,7.260,6.676,4.4168,5,-0.012172
omega,gs,3,5,6,1.000e-10,23.0259,4.4139,1.0101,-23.0259,7,9,0.0234,6.217,5.633,4.4164,4,0.002631
omega,gs,3,5,6,1.000e-08,18.4207,4.4139,1.0101,-18.4207,6,7,0.0234,5.173,4.590,4.4107,3,0.001815
omega,gs,3,5,6,1.000e-06,13.8155,4.4139,1.0101,-13.8155,5,6,0.0234,4.130,3.546,4.4171,2,-0.009493
omega,gs,3,5,6,1.000e-04,9.2103,4.4139,1.0101,-9.2103,4,5,0.0234,3.087,2.503,nan,1,0.001902
omega,gs,3,5,6,1.000e-02,4.6052,4.4139,1.0101,-4.6052,3,4,0.0234,2.043,1.460,nan,0,-0.009015
omega,gs,3,5,6,1.000e-01,2.3026,4.4139,1.0101,-2.3026,2,3,0.0234,1.522,0.938,nan,0,-0.004689
