mode,update,p,q,K,delta,ln_inv_delta,lambda1,lambda2,mean_ln_d1,t_sat,t_dec,r_floor,t_pred_1rad,t_pred_2pi,growth_slope,growth_pts,r_at_T
K,gs,3,5,12,1.000e-12,27.6310,5.7778,1.0186,-25.3725,6,8,0.0234,5.391,4.709,5.7364,4,0.008696
K,gs,3,5,12,1.000e-10,23.0259,5.7778,1.0186,-20.7673,5,7,0.0234,4.594,3.912,5.7824,3,-0.003415
K,gs,3,5,12,1.000e-08,18.4207,5.7778,1.0186,-16.1621,5,13,0.0234,3.797,3.115,5.7924,2,0.001003
K,gs,3,5,12,1.000e-06,13.8155,5.7778,1.0186,-11.5570,4,56,0.0234,3.000,2.318,nan,1,0.009133
K,gs,3,5,12,1.000e-04,9.2103,5.7778,1.0186,-6.9518,3,4,0.0234,2.203,1.521,nan,0,0.006730
K,gs,3,5,12,1.000e-02,4.6052,5.7778,1.0186,-2.3460,2,3,0.0234,1.406,0.724,nan,0,-0.000204
K,gs,3,5,12,1.000e-01,2.3026,5.7778,1.0186,-0.0550,2,2,0.0234,1.010,0.328,nan,0,0.006877
