mode,update,p,q,K,delta,ln_inv_delta,lambda1,lambda2,mean_ln_d1,t_sat,t_dec,r_floor,t_pred_1rad,t_pred_2pi,growth_slope,growth_pts,r_at_T
omega,gs,3,5,12,1.000e-12,27.6310,5.7778,1.0186,-27.6311,7,8,0.0234,5.782,5.100,5.7761,4,0.005768
omega,gs,3,5,12,1.000e-10,23.0259,5.7778,1.0186,-23.0259,6,26,0.0234,4.985,4.303,5.7825,3,-0.004196
omega,gs,3,5,12,1.000e-08,18.4207,5.7778,1.0186,-18.4207,5,6,0.0234,4.188,3.506,5.7904,2,0.010198
omega,gs,3,5,12,1.000e-06,13.8155,5.7778,1.0186,-13.8155,4,5,0.0234,3.391,2.709,5.7905,2,0.005930
omega,gs,3,5,12,1.000e-04,9.2103,5.7778,1.0186,-9.2103,3,5,0.0234,2.594,1.912,nan,1,-0.008978
omega,gs,3,5,12,1.000e-02,4.6052,5.7778,1.0186,-4.6052,2,37,0.0234,1.797,1.115,nan,0,0.001051
omega,gs,3,5,12,1.000e-01,2.3026,5.7778,1.0186,-2.3026,2,62,0.0234,1.399,0.717,nan,0,0.000126
