mode,update,p,q,K,delta,ln_inv_delta,lambda1,lambda2,mean_ln_d1,t_sat,t_dec,r_floor,t_pred_1rad,t_pred_2pi,growth_slope,growth_pts,r_at_T
K,jacobi,3,5,12,1.000e-12,27.6310,3.5864,2.7643,-27.7410,9,77,0.0234,8.735,8.247,3.5874,7,0.000586
K,jacobi,3,5,12,1.000e-10,23.0259,3.5864,2.7643,-23.1358,8,41,0.0234,7.451,6.963,3.5870,5,-0.000868
K,jacobi,3,5,12,1.000e-08,18.4207,3.5864,2.7643,-18.5307,7,8,0.0234,6.167,5.679,3.5850,4,0.005503
K,jacobi,3,5,12,1.000e-06,13.8155,3.5864,2.7643,-13.9255,5,7,0.0234,4.883,4.395,3.5832,3,-0.006050
K,jacobi,3,5,12,1.000e-04,9.2103,3.5864,2.7643,-9.3203,4,5,0.0234,3.599,3.111,3.5796,2,-0.001338
K,jacobi,3,5,12,1.000e-02,4.6052,3.5864,2.7643,-4.7152,3,4,0.0234,2.315,1.827,nan,0,0.010595
K,jacobi,3,5,12,1.000e-01,2.3026,3.5864,2.7643,-2.4126,2,3,0.0234,1.673,1.185,nan,0,0.008629
