mode,update,p,q,K,delta,ln_inv_delta,lambda1,lambda2,mean_ln_d1,t_sat,t_dec,r_floor,t_pred_1rad,t_pred_2pi,growth_slope,growth_pts,r_at_T
omega,jacobi,3,5,6,1.000e-12,27.6310,2.8917,2.0891,-27.6309,11,12,0.0234,10.555,10.191,2.8896,8,0.005411
omega,jacobi,3,5,6,1.000e-10,23.0259,2.8917,2.0891,-23.0259,10,11,0.0234,8.963,8.598,2.8895,7,-0.002729
omega,jacobi,3,5,6,1.000e-08,18.4207,2.8917,2.0891,-18.4207,8,46,0.0234,7.370,7.006,2.8877,5,0.003663
omega,jacobi,3,5,6,1.000e-06,13.8155,2.8917,2.0891,-13.8155,6,8,0.0234,5.778,5.413,2.8850,4,0.003726
omega,jacobi,3,5,6,1.000e-04,9.2103,2.8917,2.0891,-9.2103,5,6,0.0234,4.185,3.821,2.8587,2,0.005453
omega,jacobi,3,5,6,1.000e-02,4.6052,2.8917,2.0891,-4.6052,3,4,0.0234,2.593,2.228,nan,0,-0.003399
omega,jacobi,3,5,6,1.000e-01,2.3026,2.8917,2.0891,-2.3026,2,3,0.0234,1.796,1.432,nan,0,-0.002643
