# Paper 3 Fig. 3 data — seed 12345678901234, K=12.0, N=10000000 bytes/channel, Pearson r on byte values
i,j,(pi,qi),(pj,qj),r
8,18,(19;29),(61;71),0.000869738
8,19,(19;29),(67;73),0.000135690
9,10,(23;31),(29;37),0.000156431
9,11,(23;31),(31;41),-0.000131425
9,12,(23;31),(37;43),-0.000041030
9,13,(23;31),(41;47),0.000027302
9,14,(23;31),(43;53),-0.000623918
9,15,(23;31),(47;59),0.000039144
9,16,(23;31),(53;61),-0.000431563
9,17,(23;31),(59;67),0.000868873
9,18,(23;31),(61;71),0.000391917
9,19,(23;31),(67;73),-0.000146282
10,11,(29;37),(31;41),-0.000150741
10,12,(29;37),(37;43),-0.000030191
10,13,(29;37),(41;47),0.000251615
10,14,(29;37),(43;53),0.000632736
10,15,(29;37),(47;59),0.000168780
10,16,(29;37),(53;61),0.000218352
10,17,(29;37),(59;67),-0.000255757
10,18,(29;37),(61;71),-0.000253517
10,19,(29;37),(67;73),-0.000050491
11,12,(31;41),(37;43),0.000279799
11,13,(31;41),(41;47),0.000017991
11,14,(31;41),(43;53),0.000153948
11,15,(31;41),(47;59),-0.000119923
11,16,(31;41),(53;61),0.000455732
11,17,(31;41),(59;67),-0.000488868
11,18,(31;41),(61;71),0.000424925
11,19,(31;41),(67;73),0.000356126
12,13,(37;43),(41;47),-0.000355010
12,14,(37;43),(43;53),0.000092292
12,15,(37;43),(47;59),-0.000045340
12,16,(37;43),(53;61),0.000020374
12,17,(37;43),(59;67),-0.000475126
12,18,(37;43),(61;71),0.000522149
12,19,(37;43),(67;73),0.000072121
13,14,(41;47),(43;53),-0.000199603
13,15,(41;47),(47;59),-0.000706696
13,16,(41;47),(53;61),-0.000158526
13,17,(41;47),(59;67),0.000022755
13,18,(41;47),(61;71),0.000446110
13,19,(41;47),(67;73),0.000455036
14,15,(43;53),(47;59),0.000056399
14,16,(43;53),(53;61),-0.000446434
14,17,(43;53),(59;67),-0.000140438
14,18,(43;53),(61;71),-0.000184009
14,19,(43;53),(67;73),-0.000038287
15,16,(47;59),(53;61),-0.000091894
15,17,(47;59),(59;67),0.000569513
15,18,(47;59),(61;71),0.000251371
15,19,(47;59),(67;73),-0.000081225
16,17,(53;61),(59;67),0.000575111
16,18,(53;61),(61;71),0.000031221
16,19,(53;61),(67;73),0.000433937
17,18,(59;67),(61;71),-0.000140357
17,19,(59;67),(67;73),-0.000075025
18,19,(61;71),(67;73),0.000627409
