p,q,update,lambda1,lambda2
2,3,gs,4.9702,0.8057
3,5,gs,5.7778,1.0186
5,7,gs,6.8064,0.6727
7,11,gs,7.4747,0.9034
8,13,gs,7.7388,0.9700
11,17,gs,8.3812,0.8705
13,19,gs,8.7129,0.7590
17,23,gs,9.2497,0.6045
19,29,gs,9.4711,0.8456
23,31,gs,9.8547,0.5971
29,37,gs,10.3207,0.4872
31,41,gs,10.4516,0.5590
37,43,gs,10.8066,0.3006
41,47,gs,11.0112,0.2732
43,53,gs,11.1061,0.4183
47,59,gs,11.2826,0.4547
53,61,gs,11.5270,0.2811
59,67,gs,11.7388,0.2543
61,71,gs,11.8050,0.3036
67,73,gs,11.9932,0.1716
