seed_idx,i,j,pi,qi,pj,qj,abs_r_bytes,p_bytes,hamming_pct,ham_dev,r_cos1_raw,p_raw
0,3,9,7,11,23,31,0.000363,2.5138e-01,50.0021,2.108e-05,-0.001537,1.2429e-01
0,3,10,7,11,29,37,0.000170,5.9167e-01,50.0009,8.888e-06,-0.000260,7.9493e-01
0,3,11,7,11,31,41,0.000254,4.2199e-01,50.0035,3.539e-05,+0.001325,1.8511e-01
0,3,12,7,11,37,43,0.000143,6.5211e-01,49.9957,4.321e-05,+0.000534,5.9319e-01
0,3,13,7,11,41,47,0.000184,5.6054e-01,50.0085,8.455e-05,-0.002629,8.5715e-03
0,3,14,7,11,43,53,0.000037,9.0734e-01,49.9978,2.176e-05,-0.000543,5.8705e-01
0,3,15,7,11,47,59,0.000658,3.7523e-02,49.9890,1.104e-04,+0.000350,7.2598e-01
0,3,16,7,11,53,61,0.000084,7.9128e-01,49.9899,1.009e-04,-0.000397,6.9102e-01
0,3,17,7,11,59,67,0.000511,1.0617e-01,49.9976,2.375e-05,+0.001611,1.0724e-01
0,3,18,7,11,61,71,0.000926,3.3914e-03,49.9986,1.385e-05,-0.001427,1.5368e-01
0,3,19,7,11,67,73,0.000348,2.7114e-01,49.9889,1.114e-04,+0.000518,6.0424e-01
0,4,5,8,13,11,17,0.000171,5.8840e-01,49.9949,5.131e-05,-0.000840,4.0115e-01
0,4,6,8,13,13,19,0.000577,6.8240e-02,50.0015,1.456e-05,+0.000146,8.8368e-01
0,4,7,8,13,17,23,0.000059,8.5115e-01,50.0065,6.520e-05,+0.000127,8.9905e-01
0,4,8,8,13,19,29,0.000230,4.6780e-01,49.9974,2.590e-05,-0.000936,3.4945e-01
0,4,9,8,13,23,31,0.000507,1.0908e-01,50.0057,5.665e-05,+0.001850,6.4381e-02
0,4,10,8,13,29,37,0.000090,7.7493e-01,50.0064,6.421e-05,-0.000161,8.7232e-01
0,4,11,8,13,31,41,0.000639,4.3396e-02,50.0048,4.751e-05,+0.000280,7.7952e-01
0,4,12,8,13,37,43,0.000095,7.6284e-01,50.0036,3.601e-05,-0.000016,9.8694e-01
0,4,13,8,13,41,47,0.000861,6.4805e-03,49.9930,6.977e-05,+0.000565,5.7202e-01
0,4,14,8,13,43,53,0.000189,5.5079e-01,49.9862,1.377e-04,-0.001904,5.6867e-02
0,4,15,8,13,47,59,0.000071,8.2187e-01,50.0025,2.476e-05,+0.000011,9.9143e-01
0,4,16,8,13,53,61,0.000581,6.6113e-02,50.0074,7.444e-05,+0.000817,4.1389e-01
0,4,17,8,13,59,67,0.000564,7.4291e-02,50.0035,3.453e-05,-0.000099,9.2109e-01
0,4,18,8,13,61,71,0.000198,5.3212e-01,49.9901,9.850e-05,+0.002240,2.5088e-02
0,4,19,8,13,67,73,0.000374,2.3744e-01,49.9976,2.385e-05,-0.000506,6.1314e-01
0,5,6,11,17,13,19,0.000344,2.7668e-01,50.0079,7.877e-05,-0.000493,6.2208e-01
0,5,7,11,17,17,23,0.000199,5.2813e-01,50.0022,2.246e-05,+0.000087,9.3039e-01
0,5,8,11,17,19,29,0.000203,5.2106e-01,49.9915,8.511e-05,+0.000467,6.4031e-01
0,5,9,11,17,23,31,0.000205,5.1594e-01,49.9996,3.688e-06,-0.001475,1.4027e-01
0,5,10,11,17,29,37,0.000112,7.2257e-01,49.9986,1.447e-05,-0.001404,1.6035e-01
0,5,11,11,17,31,41,0.000715,2.3748e-02,49.9969,3.090e-05,-0.002510,1.2086e-02
0,5,12,11,17,37,43,0.000155,6.2499e-01,49.9966,3.433e-05,-0.000689,4.9056e-01
0,5,13,11,17,41,47,0.000365,2.4849e-01,50.0058,5.826e-05,-0.001552,1.2059e-01
0,5,14,11,17,43,53,0.000011,9.7165e-01,50.0052,5.197e-05,+0.001275,2.0232e-01
0,5,15,11,17,47,59,0.000040,8.9861e-01,50.0014,1.363e-05,-0.000350,7.2656e-01
0,5,16,11,17,53,61,0.000002,9.9376e-01,50.0011,1.135e-05,-0.000264,7.9211e-01
0,5,17,11,17,59,67,0.000285,3.6766e-01,50.0027,2.661e-05,-0.000378,7.0558e-01
0,5,18,11,17,61,71,0.000082,7.9423e-01,49.9967,3.309e-05,+0.000689,4.9112e-01
0,5,19,11,17,67,73,0.000133,6.7474e-01,50.0036,3.636e-05,-0.000190,8.4946e-01
0,6,7,13,19,17,23,0.000055,8.6265e-01,50.0035,3.536e-05,+0.000657,5.1111e-01
0,6,8,13,19,19,29,0.000264,4.0412e-01,49.9896,1.045e-04,-0.000060,9.5216e-01
0,6,9,13,19,23,31,0.000113,7.2054e-01,50.0046,4.576e-05,+0.000090,9.2866e-01
0,6,10,13,19,29,37,0.000147,6.4096e-01,49.9927,7.265e-05,-0.000721,4.7121e-01
0,6,11,13,19,31,41,0.000178,5.7259e-01,50.0043,4.330e-05,+0.000870,3.8441e-01
0,6,12,13,19,37,43,0.000143,6.5046e-01,49.9941,5.890e-05,+0.000078,9.3758e-01
0,6,13,13,19,41,47,0.000127,6.8910e-01,50.0020,1.959e-05,+0.001005,3.1496e-01
0,6,14,13,19,43,53,0.000355,2.6109e-01,49.9963,3.732e-05,-0.000551,5.8178e-01
0,6,15,13,19,47,59,0.000457,1.4859e-01,50.0128,1.281e-04,+0.000974,3.3006e-01
0,6,16,13,19,53,61,0.000504,1.1073e-01,49.9963,3.665e-05,-0.000042,9.6633e-01
0,6,17,13,19,59,67,0.000260,4.1070e-01,49.9983,1.686e-05,-0.000018,9.8601e-01
0,6,18,13,19,61,71,0.000377,2.3355e-01,49.9951,4.899e-05,+0.001055,2.9147e-01
0,6,19,13,19,67,73,0.000083,7.9190e-01,49.9967,3.341e-05,+0.001341,1.7999e-01
0,7,8,17,23,19,29,0.000258,4.1548e-01,50.0040,4.020e-05,+0.000990,3.2196e-01
0,7,9,17,23,23,31,0.000225,4.7663e-01,49.9986,1.413e-05,+0.000251,8.0190e-01
0,7,10,17,23,29,37,0.000976,2.0294e-03,50.0189,1.892e-04,+0.000091,9.2764e-01
0,7,11,17,23,31,41,0.000028,9.3031e-01,50.0016,1.551e-05,-0.000271,7.8603e-01
0,7,12,17,23,37,43,0.000012,9.6909e-01,49.9949,5.106e-05,+0.000548,5.8344e-01
0,7,13,17,23,41,47,0.000232,4.6375e-01,49.9997,2.600e-06,+0.000760,4.4727e-01
0,7,14,17,23,43,53,0.000500,1.1402e-01,50.0020,2.039e-05,-0.000781,4.3466e-01
0,7,15,17,23,47,59,0.000786,1.2887e-02,50.0152,1.522e-04,-0.001219,2.2270e-01
0,7,16,17,23,53,61,0.000274,3.8548e-01,50.0047,4.724e-05,+0.000604,5.4615e-01
0,7,17,17,23,59,67,0.000118,7.0964e-01,49.9955,4.457e-05,+0.000585,5.5821e-01
0,7,18,17,23,61,71,0.000206,5.1409e-01,50.0065,6.490e-05,+0.000379,7.0503e-01
0,7,19,17,23,67,73,0.000245,4.3771e-01,50.0006,5.900e-06,+0.000395,6.9264e-01
0,8,9,19,29,23,31,0.000729,2.1098e-02,50.0035,3.548e-05,-0.000359,7.1943e-01
0,8,10,19,29,29,37,0.000170,5.9134e-01,50.0038,3.829e-05,+0.000851,3.9471e-01
0,8,11,19,29,31,41,0.000410,1.9429e-01,50.0021,2.101e-05,+0.001472,1.4101e-01
0,8,12,19,29,37,43,0.000391,2.1671e-01,49.9973,2.716e-05,+0.000718,4.7273e-01
0,8,13,19,29,41,47,0.000310,3.2743e-01,50.0006,5.600e-06,+0.000158,8.7444e-01
0,8,14,19,29,43,53,0.000152,6.3137e-01,50.0036,3.649e-05,+0.000395,6.9248e-01
0,8,15,19,29,47,59,0.000627,4.7343e-02,50.0111,1.105e-04,-0.000160,8.7256e-01
0,8,16,19,29,53,61,0.000211,5.0460e-01,50.0018,1.776e-05,-0.000384,7.0093e-01
0,8,17,19,29,59,67,0.000010,9.7359e-01,50.0062,6.182e-05,+0.000040,9.6776e-01
0,8,18,19,29,61,71,0.000187,5.5415e-01,49.9961,3.907e-05,-0.002029,4.2471e-02
0,8,19,19,29,67,73,0.000065,8.3717e-01,49.9972,2.763e-05,-0.000224,8.2242e-01
0,9,10,23,31,29,37,0.000025,9.3637e-01,49.9980,1.999e-05,+0.000381,7.0349e-01
0,9,11,23,31,31,41,0.000190,5.4774e-01,49.9974,2.606e-05,-0.000481,6.3068e-01
0,9,12,23,31,37,43,0.000436,1.6756e-01,49.9948,5.186e-05,-0.000132,8.9504e-01
0,9,13,23,31,41,47,0.000099,7.5508e-01,49.9933,6.698e-05,+0.002484,1.3005e-02
0,9,14,23,31,43,53,0.000206,5.1540e-01,49.9896,1.039e-04,-0.001035,3.0072e-01
0,9,15,23,31,47,59,0.000107,7.3473e-01,50.0058,5.811e-05,-0.001113,2.6567e-01
0,9,16,23,31,53,61,0.000204,5.1860e-01,49.9912,8.756e-05,-0.000458,6.4686e-01
0,9,17,23,31,59,67,0.000124,6.9561e-01,49.9968,3.200e-05,+0.001623,1.0463e-01
0,9,18,23,31,61,71,0.000485,1.2519e-01,50.0006,5.925e-06,-0.000628,5.2981e-01
0,9,19,23,31,67,73,0.000168,5.9538e-01,50.0050,5.000e-05,-0.000535,5.9262e-01
0,10,11,29,37,31,41,0.000713,2.4161e-02,49.9868,1.322e-04,-0.001350,1.7702e-01
0,10,12,29,37,37,43,0.000082,7.9528e-01,49.9915,8.460e-05,+0.001509,1.3121e-01
0,10,13,29,37,41,47,0.000086,7.8541e-01,49.9974,2.586e-05,-0.001141,2.5395e-01
0,10,14,29,37,43,53,0.000315,3.1920e-01,50.0001,1.175e-06,+0.001989,4.6657e-02
0,10,15,29,37,47,59,0.000623,4.8989e-02,50.0016,1.640e-05,-0.001129,2.5904e-01
0,10,16,29,37,53,61,0.000184,5.5986e-01,50.0053,5.260e-05,-0.000721,4.7110e-01
0,10,17,29,37,59,67,0.000143,6.5187e-01,50.0096,9.626e-05,+0.000723,4.6988e-01
0,10,18,29,37,61,71,0.000180,5.6891e-01,50.0053,5.334e-05,+0.000366,7.1456e-01
0,10,19,29,37,67,73,0.000119,7.0748e-01,49.9967,3.261e-05,-0.001018,3.0890e-01
0,11,12,31,41,37,43,0.000064,8.3875e-01,49.9987,1.275e-05,-0.000843,3.9910e-01
0,11,13,31,41,41,47,0.000389,2.1818e-01,50.0021,2.146e-05,+0.000105,9.1615e-01
0,11,14,31,41,43,53,0.000034,9.1381e-01,49.9972,2.758e-05,-0.000520,6.0327e-01
0,11,15,31,41,47,59,0.000111,7.2577e-01,49.9934,6.585e-05,+0.000349,7.2693e-01
0,11,16,31,41,53,61,0.000327,3.0184e-01,49.9879,1.210e-04,+0.000041,9.6709e-01
0,11,17,31,41,59,67,0.000077,8.0663e-01,49.9942,5.836e-05,+0.000129,8.9716e-01
0,11,18,31,41,61,71,0.000335,2.9010e-01,49.9953,4.749e-05,+0.000510,6.0995e-01
0,11,19,31,41,67,73,0.000684,3.0571e-02,49.9996,3.937e-06,+0.001319,1.8708e-01
0,12,13,37,43,41,47,0.000214,4.9762e-01,50.0026,2.646e-05,-0.000714,4.7533e-01
0,12,14,37,43,43,53,0.000172,5.8701e-01,50.0047,4.717e-05,+0.000533,5.9391e-01
0,12,15,37,43,47,59,0.000020,9.5080e-01,49.9949,5.148e-05,+0.000742,4.5789e-01
0,12,16,37,43,53,61,0.000566,7.3233e-02,50.0019,1.880e-05,+0.000347,7.2877e-01
0,12,17,37,43,59,67,0.000366,2.4737e-01,49.9961,3.909e-05,-0.000168,8.6627e-01
0,12,18,37,43,61,71,0.000353,2.6369e-01,50.0031,3.139e-05,+0.000065,9.4851e-01
0,12,19,37,43,67,73,0.000445,1.5926e-01,50.0012,1.181e-05,-0.000771,4.4058e-01
0,13,14,41,47,43,53,0.000010,9.7403e-01,49.9939,6.061e-05,+0.003337,8.4597e-04
0,13,15,41,47,47,59,0.000408,1.9669e-01,50.0130,1.297e-04,+0.001670,9.4867e-02
0,13,16,41,47,53,61,0.000439,1.6490e-01,49.9971,2.886e-05,-0.000741,4.5880e-01
0,13,17,41,47,59,67,0.000651,3.9605e-02,49.9933,6.692e-05,-0.000559,5.7621e-01
0,13,18,41,47,61,71,0.000078,8.0436e-01,49.9896,1.038e-04,-0.000153,8.7816e-01
0,13,19,41,47,67,73,0.000110,7.2701e-01,49.9958,4.242e-05,+0.001727,8.4208e-02
0,14,15,43,53,47,59,0.000147,6.4192e-01,49.9965,3.548e-05,+0.001235,2.1701e-01
0,14,16,43,53,53,61,0.000477,1.3164e-01,49.9928,7.247e-05,-0.000289,7.7284e-01
0,14,17,43,53,59,67,0.000038,9.0465e-01,49.9963,3.714e-05,+0.000733,4.6379e-01
0,14,18,43,53,61,71,0.000522,9.8611e-02,49.9962,3.761e-05,-0.001559,1.1901e-01
0,14,19,43,53,67,73,0.000248,4.3317e-01,49.9978,2.226e-05,+0.000097,9.2248e-01
0,15,16,47,59,53,61,0.000316,3.1764e-01,50.0008,8.375e-06,+0.000418,6.7618e-01
0,15,17,47,59,59,67,0.000384,2.2490e-01,49.9921,7.901e-05,-0.001283,1.9952e-01
0,15,18,47,59,61,71,0.000107,7.3443e-01,49.9961,3.936e-05,+0.001644,1.0013e-01
0,15,19,47,59,67,73,0.000099,7.5513e-01,50.0044,4.404e-05,+0.001506,1.3206e-01
0,16,17,53,61,59,67,0.000263,4.0558e-01,50.0059,5.936e-05,+0.000959,3.3732e-01
0,16,18,53,61,61,71,0.000638,4.3520e-02,50.0011,1.086e-05,+0.001809,7.0429e-02
0,16,19,53,61,67,73,0.000150,6.3614e-01,50.0055,5.486e-05,-0.000526,5.9893e-01
0,17,18,59,67,61,71,0.000510,1.0656e-01,50.0143,1.427e-04,-0.000450,6.5302e-01
0,17,19,59,67,67,73,0.000055,8.6168e-01,50.0007,6.575e-06,-0.002012,4.4241e-02
0,18,19,61,71,67,73,0.000252,4.2505e-01,49.9933,6.713e-05,-0.000935,3.4997e-01
1,0,1,2,3,3,5,0.000105,7.4003e-01,50.0033,3.257e-05,+0.002063,3.9117e-02
1,0,2,2,3,5,7,0.000149,6.3816e-01,49.9962,3.758e-05,+0.000466,6.4098e-01
1,0,3,2,3,7,11,0.000098,7.5673e-01,49.9924,7.586e-05,-0.001214,2.2488e-01
1,0,4,2,3,8,13,0.000575,6.8783e-02,50.0052,5.229e-05,+0.000263,7.9287e-01
1,0,5,2,3,11,17,0.000632,4.5516e-02,49.9987,1.282e-05,+0.000683,4.9455e-01
1,0,6,2,3,13,19,0.000306,3.3314e-01,49.9957,4.346e-05,+0.000817,4.1405e-01
1,0,7,2,3,17,23,0.000109,7.3112e-01,49.9908,9.246e-05,-0.000817,4.1418e-01
1,0,8,2,3,19,29,0.000144,6.4895e-01,50.0039,3.898e-05,+0.001926,5.4098e-02
1,0,9,2,3,23,31,0.000203,5.2000e-01,49.9968,3.224e-05,+0.003104,1.9074e-03
1,0,10,2,3,29,37,0.000188,5.5166e-01,50.0003,2.850e-06,-0.001610,1.0742e-01
1,0,11,2,3,31,41,0.000054,8.6357e-01,50.0045,4.477e-05,-0.000350,7.2660e-01
1,0,12,2,3,37,43,0.000092,7.7113e-01,49.9939,6.146e-05,-0.000145,8.8454e-01
1,0,13,2,3,41,47,0.000025,9.3727e-01,50.0036,3.570e-05,+0.000328,7.4283e-01
1,0,14,2,3,43,53,0.000163,6.0567e-01,49.9952,4.772e-05,-0.000107,9.1466e-01
1,0,15,2,3,47,59,0.000146,6.4541e-01,49.9997,2.737e-06,+0.000213,8.3120e-01
1,0,16,2,3,53,61,0.000189,5.4981e-01,50.0011,1.064e-05,+0.000294,7.6840e-01
1,0,17,2,3,59,67,0.000570,7.1545e-02,49.9997,3.450e-06,-0.002041,4.1272e-02
1,0,18,2,3,61,71,0.000026,9.3325e-01,49.9904,9.551e-05,+0.000608,5.4315e-01
1,0,19,2,3,67,73,0.000679,3.1853e-02,50.0062,6.207e-05,-0.000951,3.4152e-01
1,1,2,3,5,5,7,0.000085,7.8748e-01,49.9930,7.015e-05,-0.001566,1.1736e-01
1,1,3,3,5,7,11,0.000245,4.3924e-01,49.9934,6.644e-05,+0.001076,2.8188e-01
1,1,4,3,5,8,13,0.000081,7.9881e-01,49.9922,7.841e-05,+0.000693,4.8858e-01
1,1,5,3,5,11,17,0.000588,6.3112e-02,50.0041,4.138e-05,+0.000482,6.2992e-01
1,1,6,3,5,13,19,0.000196,5.3528e-01,50.0027,2.724e-05,-0.001699,8.9368e-02
1,1,7,3,5,17,23,0.000141,6.5551e-01,49.9924,7.579e-05,-0.001498,1.3415e-01
1,1,8,3,5,19,29,0.000230,4.6647e-01,50.0036,3.580e-05,-0.000038,9.6938e-01
1,1,9,3,5,23,31,0.000052,8.6900e-01,49.9964,3.561e-05,-0.000185,8.5307e-01
1,1,10,3,5,29,37,0.000058,8.5329e-01,49.9976,2.430e-05,+0.000349,7.2673e-01
1,1,11,3,5,31,41,0.000307,3.3175e-01,49.9986,1.405e-05,-0.000683,4.9439e-01
1,1,12,3,5,37,43,0.000638,4.3569e-02,49.9943,5.681e-05,-0.000090,9.2799e-01
1,1,13,3,5,41,47,0.000852,7.0645e-03,50.0001,1.125e-06,-0.002800,5.1128e-03
1,1,14,3,5,43,53,0.000565,7.4117e-02,50.0093,9.335e-05,-0.000119,9.0513e-01
1,1,15,3,5,47,59,0.000213,5.0065e-01,50.0018,1.849e-05,+0.000001,9.9914e-01
1,1,16,3,5,53,61,0.000215,4.9717e-01,49.9974,2.609e-05,-0.000602,5.4696e-01
1,1,17,3,5,59,67,0.000219,4.8837e-01,49.9911,8.870e-05,+0.000760,4.4697e-01
1,1,18,3,5,61,71,0.000798,1.1644e-02,49.9873,1.275e-04,+0.001442,1.4942e-01
1,1,19,3,5,67,73,0.000256,4.1891e-01,49.9977,2.347e-05,+0.000711,4.7716e-01
1,2,3,5,7,7,11,0.000014,9.6538e-01,50.0086,8.589e-05,+0.000182,8.5591e-01
1,2,4,5,7,8,13,0.000581,6.6103e-02,49.9977,2.256e-05,+0.000081,9.3517e-01
1,2,5,5,7,11,17,0.000025,9.3700e-01,49.9994,5.750e-06,-0.000624,5.3288e-01
1,2,6,5,7,13,19,0.000208,5.1092e-01,49.9915,8.494e-05,+0.000859,3.9036e-01
1,2,7,5,7,17,23,0.000345,2.7561e-01,49.9969,3.091e-05,+0.001114,2.6539e-01
1,2,8,5,7,19,29,0.000365,2.4851e-01,49.9937,6.257e-05,-0.000121,9.0356e-01
1,2,9,5,7,23,31,0.000318,3.1520e-01,50.0050,4.969e-05,-0.000027,9.7878e-01
1,2,10,5,7,29,37,0.000014,9.6589e-01,49.9999,1.475e-06,+0.000846,3.9728e-01
1,2,11,5,7,31,41,0.000349,2.7034e-01,49.9949,5.117e-05,-0.000796,4.2579e-01
1,2,12,5,7,37,43,0.000476,1.3232e-01,49.9993,7.212e-06,-0.001106,2.6877e-01
1,2,13,5,7,41,47,0.000227,4.7266e-01,49.9992,8.450e-06,-0.000368,7.1305e-01
1,2,14,5,7,43,53,0.000427,1.7703e-01,50.0113,1.134e-04,+0.001203,2.2892e-01
1,2,15,5,7,47,59,0.000032,9.1972e-01,50.0057,5.716e-05,-0.001040,2.9826e-01
1,2,16,5,7,53,61,0.000113,7.2119e-01,50.0041,4.149e-05,-0.000827,4.0796e-01
1,2,17,5,7,59,67,0.000088,7.8030e-01,50.0067,6.748e-05,-0.000254,7.9937e-01
1,2,18,5,7,61,71,0.000044,8.8899e-01,49.9994,5.862e-06,+0.000780,4.3536e-01
1,2,19,5,7,67,73,0.000231,4.6522e-01,50.0001,5.500e-07,+0.001089,2.7628e-01
1,3,4,7,11,8,13,0.000038,9.0560e-01,50.0000,2.000e-07,-0.000263,7.9226e-01
1,3,5,7,11,11,17,0.000297,3.4769e-01,49.9985,1.454e-05,-0.000174,8.6204e-01
1,3,6,7,11,13,19,0.000507,1.0874e-01,49.9931,6.858e-05,-0.001181,2.3764e-01
1,3,7,7,11,17,23,0.000297,3.4790e-01,49.9987,1.263e-05,+0.001079,2.8063e-01
1,3,8,7,11,19,29,0.000034,9.1430e-01,49.9946,5.411e-05,+0.000067,9.4680e-01
1,3,9,7,11,23,31,0.000296,3.4932e-01,49.9943,5.720e-05,-0.001261,2.0728e-01
1,3,10,7,11,29,37,0.000108,7.3353e-01,49.9952,4.751e-05,+0.000953,3.4067e-01
1,3,11,7,11,31,41,0.000484,1.2577e-01,50.0065,6.486e-05,-0.000747,4.5491e-01
1,3,12,7,11,37,43,0.000125,6.9371e-01,49.9937,6.290e-05,-0.001738,8.2296e-02
1,3,13,7,11,41,47,0.000050,8.7362e-01,49.9930,7.046e-05,-0.000858,3.9111e-01
1,3,14,7,11,43,53,0.000205,5.1598e-01,50.0055,5.494e-05,-0.000183,8.5458e-01
1,3,15,7,11,47,59,0.000038,9.0524e-01,49.9987,1.348e-05,+0.001049,2.9408e-01
1,3,16,7,11,53,61,0.000017,9.5740e-01,50.0023,2.275e-05,+0.000743,4.5739e-01
1,3,17,7,11,59,67,0.000069,8.2758e-01,49.9993,7.088e-06,-0.000006,9.9529e-01
1,3,18,7,11,61,71,0.000054,8.6474e-01,49.9956,4.393e-05,+0.000217,8.2831e-01
1,3,19,7,11,67,73,0.000299,3.4441e-01,49.9977,2.276e-05,+0.000261,7.9395e-01
1,4,5,8,13,11,17,0.000159,6.1580e-01,50.0067,6.686e-05,+0.001506,1.3197e-01
