seed_idx,i,j,pi,qi,pj,qj,abs_r_bytes,p_bytes,hamming_pct,ham_dev,r_cos1_raw,p_raw
6,4,17,8,13,59,67,6.681792859e-04,3.4603e-02,49.9921,7.875e-05,-6.561539028e-04,5.1173e-01
6,4,18,8,13,61,71,4.341630940e-04,1.6977e-01,50.0114,1.138e-04,+8.384675006e-04,4.0177e-01
6,4,19,8,13,67,73,4.745658650e-05,8.8071e-01,49.9980,2.009e-05,-1.426574959e-03,1.5370e-01
6,5,6,11,17,13,19,6.980894736e-05,8.2528e-01,49.9930,6.977e-05,+4.844190423e-04,6.2809e-01
6,5,7,11,17,17,23,4.443272745e-04,1.6000e-01,49.9992,8.463e-06,-3.288800193e-04,7.4225e-01
6,5,8,11,17,19,29,2.992989131e-05,9.2460e-01,50.0016,1.585e-05,+7.265024451e-05,9.4208e-01
6,5,9,11,17,23,31,2.750750041e-05,9.3068e-01,50.0065,6.472e-05,-5.804163682e-04,5.6163e-01
6,5,10,11,17,29,37,3.955606412e-04,2.1098e-01,50.0044,4.373e-05,+4.728385606e-04,6.3633e-01
6,5,11,11,17,31,41,3.614876384e-04,2.5299e-01,50.0006,5.975e-06,-8.973803162e-04,3.6952e-01
6,5,12,11,17,37,43,7.159999053e-04,2.3562e-02,49.9910,9.008e-05,+1.797354849e-03,7.2279e-02
6,5,13,11,17,41,47,1.626991485e-04,6.0690e-01,49.9947,5.336e-05,+1.367050382e-06,9.9891e-01
6,5,14,11,17,43,53,1.061348939e-04,7.3715e-01,50.0052,5.191e-05,-3.524915191e-04,7.2447e-01
6,5,15,11,17,47,59,4.448572304e-04,1.5950e-01,49.9912,8.791e-05,+1.085903860e-03,2.7752e-01
6,5,16,11,17,53,61,1.348823739e-04,6.6972e-01,49.9981,1.921e-05,-1.155192909e-05,9.9078e-01
6,5,17,11,17,59,67,1.994298768e-04,5.2827e-01,49.9976,2.400e-05,-2.871155417e-04,7.7402e-01
6,5,18,11,17,61,71,2.146704057e-04,4.9723e-01,50.0061,6.141e-05,+2.121269132e-04,8.3201e-01
6,5,19,11,17,67,73,4.496513365e-04,1.5505e-01,49.9907,9.271e-05,-1.089554965e-03,2.7591e-01
6,6,7,13,19,17,23,5.137920659e-04,1.0422e-01,49.9963,3.664e-05,+9.358070917e-04,3.4937e-01
6,6,8,13,19,19,29,2.143656685e-04,4.9785e-01,50.0037,3.657e-05,-2.260162005e-04,8.2119e-01
6,6,9,13,19,23,31,2.998384774e-05,9.2446e-01,50.0011,1.127e-05,-2.352011369e-03,1.8672e-02
6,6,10,13,19,29,37,1.198179060e-04,7.0476e-01,50.0078,7.815e-05,+1.638487729e-03,1.0132e-01
6,6,11,13,19,31,41,2.499545310e-04,4.2928e-01,49.9926,7.377e-05,+5.434473171e-04,5.8682e-01
6,6,12,13,19,37,43,7.614568756e-05,8.0971e-01,50.0031,3.055e-05,-1.385226574e-04,8.8983e-01
6,6,13,13,19,41,47,7.015935867e-04,2.6512e-02,50.0024,2.406e-05,-5.635984004e-04,5.7303e-01
6,6,14,13,19,43,53,6.943223228e-04,2.8118e-02,50.0055,5.484e-05,-9.460119096e-04,3.4414e-01
6,6,15,13,19,47,59,7.746802936e-05,8.0648e-01,50.0005,5.412e-06,-1.316003147e-03,1.8817e-01
6,6,16,13,19,53,61,2.125644180e-04,5.0146e-01,50.0054,5.419e-05,-7.739119248e-04,4.3898e-01
6,6,17,13,19,59,67,6.669793827e-05,8.3295e-01,49.9998,2.300e-06,-1.079716030e-03,2.8027e-01
6,6,18,13,19,61,71,7.973804717e-05,8.0092e-01,49.9954,4.636e-05,-1.583222202e-03,1.1337e-01
6,6,19,13,19,67,73,4.580816159e-04,1.4745e-01,50.0031,3.126e-05,+1.137760613e-03,2.5522e-01
6,7,8,17,23,19,29,2.449634829e-06,9.9382e-01,50.0029,2.896e-05,-7.104649268e-04,4.7742e-01
6,7,9,17,23,23,31,3.316832286e-05,9.1647e-01,50.0030,2.989e-05,-6.483317826e-04,5.1677e-01
6,7,10,17,23,29,37,1.999672039e-04,5.2716e-01,50.0011,1.071e-05,+5.990799437e-04,5.4912e-01
6,7,11,17,23,31,41,1.217553121e-04,7.0022e-01,49.9964,3.631e-05,-8.111558650e-05,9.3535e-01
6,7,12,17,23,37,43,2.171526087e-04,4.9227e-01,50.0000,8.750e-08,-4.060785325e-04,6.8468e-01
6,7,13,17,23,41,47,4.975382266e-04,1.1564e-01,50.0038,3.775e-05,-8.701832127e-05,9.3066e-01
6,7,14,17,23,43,53,2.527644446e-04,4.2411e-01,50.0027,2.665e-05,+1.201023368e-03,2.2974e-01
6,7,15,17,23,47,59,2.741635470e-04,3.8595e-01,50.0003,3.350e-06,+9.088670319e-04,3.6342e-01
6,7,16,17,23,53,61,1.944079541e-05,9.5098e-01,49.9945,5.488e-05,+8.289653503e-04,4.0712e-01
6,7,17,17,23,59,67,6.751312294e-04,3.2765e-02,49.9926,7.409e-05,+1.760976111e-04,8.6022e-01
6,7,18,17,23,61,71,2.246535998e-04,4.7745e-01,49.9927,7.337e-05,+2.297468187e-05,9.8167e-01
6,7,19,17,23,67,73,2.394459427e-04,4.4893e-01,50.0100,1.001e-04,-1.126367062e-03,2.6001e-01
6,8,9,19,29,23,31,1.412911055e-04,6.5502e-01,49.9970,3.010e-05,-7.352476363e-04,4.6219e-01
