p,q,K,lambda1,W_unwrapped,R_alpha,R_theta1,R_theta2,period,chi2_bytes
5,7,0.42,0.7344,2.010336,0.1216,0.0001,0.0006,0,233.5
5,7,0.44,0.7647,1.954429,0.0994,0.0009,0.0004,0,253.3
5,7,0.46,-0.1515,1.400000,0.1896,0.0000,0.0000,48,6166688.0
5,7,0.48,0.7353,1.713687,0.0801,0.0007,0.0009,48,4097536.2
5,7,0.50,0.9102,1.936259,0.1143,0.0006,0.0003,0,237.8
5,7,0.52,0.9368,2.007335,0.1473,0.0011,0.0002,0,246.3
5,7,0.54,0.9986,2.203275,0.1355,0.0002,0.0008,0,265.4
5,7,0.56,1.0446,2.183684,0.1032,0.0007,0.0015,0,231.2
5,7,0.58,1.0975,2.100200,0.0694,0.0027,0.0019,0,298.5
5,7,0.60,1.1376,2.091770,0.0619,0.0032,0.0015,0,253.9
5,7,0.62,1.1707,2.091404,0.0289,0.0009,0.0012,0,241.8
5,7,0.64,1.1714,2.046121,0.0530,0.0011,0.0020,0,270.9
5,7,0.66,1.2235,2.091203,0.0727,0.0004,0.0007,0,275.3
5,7,0.68,1.2608,2.062207,0.0733,0.0018,0.0003,0,259.1
5,7,0.70,1.2679,1.966162,0.1090,0.0009,0.0014,0,273.8
5,7,0.72,-0.0000,1.400000,0.9993,0.0000,0.0000,0,289.0
5,7,0.74,1.3831,1.956779,0.0904,0.0017,0.0016,0,275.3
5,7,0.76,1.4474,1.958655,0.0792,0.0024,0.0018,0,307.0
5,7,0.78,1.4988,1.991102,0.0931,0.0043,0.0007,0,268.7
5,7,0.80,1.5482,2.014595,0.1088,0.0056,0.0012,0,229.3
5,7,0.82,1.5824,1.948501,0.1408,0.0030,0.0008,0,271.4
5,7,0.84,1.6226,1.882687,0.1643,0.0044,0.0004,0,275.2
5,7,0.86,1.6810,1.917595,0.1513,0.0015,0.0005,0,279.2
5,7,0.88,1.7355,2.018097,0.1241,0.0027,0.0019,0,280.1
5,7,0.90,1.7906,2.046021,0.1044,0.0031,0.0005,0,253.1
5,7,0.92,1.8348,2.043986,0.0806,0.0012,0.0011,0,276.1
5,7,0.94,1.8618,2.021169,0.0784,0.0023,0.0013,0,254.0
5,7,0.96,1.8837,1.958311,0.0820,0.0018,0.0004,0,237.6
5,7,0.98,1.9196,1.990326,0.0661,0.0041,0.0002,0,220.5
5,7,1.00,1.9342,2.074185,0.0256,0.0022,0.0013,0,247.5
7,11,0.30,0.5080,2.162840,0.2076,0.0003,0.0012,0,242.1
7,11,0.32,0.7466,2.124272,0.1034,0.0006,0.0010,0,267.7
7,11,0.34,0.9310,2.129888,0.0690,0.0011,0.0009,0,234.7
7,11,0.36,1.0301,2.091412,0.0808,0.0005,0.0009,0,257.7
7,11,0.38,-0.3050,1.571429,1.0000,0.0000,0.0000,72,3648143.4
7,11,0.40,1.1574,2.151682,0.0584,0.0006,0.0013,0,253.7
7,11,0.42,1.2797,2.146126,0.1018,0.0007,0.0006,0,253.3
7,11,0.44,1.3405,2.121802,0.1209,0.0027,0.0016,0,241.5
7,11,0.46,1.4173,2.137778,0.1290,0.0015,0.0009,0,263.6
7,11,0.48,1.4920,2.112472,0.1184,0.0016,0.0001,0,253.9
7,11,0.50,1.5557,2.106146,0.1242,0.0003,0.0009,0,244.5
7,11,0.52,1.5908,2.093437,0.1513,0.0017,0.0010,0,270.5
