0,209268665.46,185430742.26,65324099.92
1,70049810.31,65218604.10,13581099.22
2,17651162.18,16030756.74,1051545.98
3,3651605.50,3284857.72,41831.69
4,850123.35,808738.41,3089.90
5,216144.17,221097.23,493.48
6,55313.27,58176.79,302.98
7,14379.77,15123.17,255.02
8,3882.63,3931.79,220.51
9,1223.12,1258.14,254.02
10,573.09,509.27,266.33
11,283.27,336.41,254.36
12,211.78,274.49,254.58
13,218.23,253.62,225.36
14,219.81,224.60,241.04
15,237.56,234.34,259.73
16,233.51,224.11,245.01
17,235.78,230.59,230.00
18,207.49,235.44,238.03
19,222.41,209.17,245.38
20,259.01,190.68,295.12
21,293.10,213.26,288.36
22,270.44,241.60,265.89
23,257.73,269.04,250.40
24,229.89,283.20,259.74
25,266.17,250.49,243.07
26,225.91,237.60,250.97
27,234.41,233.72,261.12
28,232.90,250.00,207.57
29,232.02,278.07,201.30
30,203.21,250.71,236.15
31,212.15,229.15,262.33
32,245.92,243.11,263.77
33,248.38,245.80,246.37
34,270.14,259.12,254.63
35,277.79,326.26,243.67
36,285.50,336.20,239.75
37,416.95,421.68,250.09
38,2710.86,2706.84,259.33
39,8345.69,7838.96,249.03
40,18730.70,18252.35,502.44
41,156669.59,154778.82,784.85
42,512392.67,511851.07,2334.87
43,1227721.43,1228122.34,4760.33
44,9920853.30,9923292.64,594243.54
