# MCL bifurcation sweep (fine step-0.005) — Doc ID MCL-BIFSWEEP-2026-0719-001
# engine v6.0.0 frozen copy, seed 12345678901234, (p,q)=(3,5), QR 1e5 iters
K,lmax,l2,th_min,th_max,buckets,class
2.445,2.696872,0.937781,0.019716,6.272097,198,CHAOTIC
2.450,2.703016,0.930932,0.011345,6.273647,197,CHAOTIC
2.455,2.699206,0.938271,0.036065,6.200367,199,CHAOTIC
2.460,2.702105,0.934753,0.045233,6.265007,195,CHAOTIC
2.465,2.700570,0.937007,0.008036,6.277188,197,CHAOTIC
2.470,2.709100,0.936237,0.004390,6.229849,195,CHAOTIC
2.475,2.705766,0.935687,0.015049,6.281788,198,CHAOTIC
2.480,2.708587,0.934293,0.020608,6.274563,196,CHAOTIC
2.485,2.710579,0.936626,0.002570,6.215141,198,CHAOTIC
2.490,2.719219,0.936850,0.062489,6.279031,196,CHAOTIC
2.495,2.713193,0.936227,0.013005,6.265223,196,CHAOTIC
2.500,2.716517,0.939567,0.115434,6.232784,197,CHAOTIC
2.505,2.726757,0.937108,0.007863,6.266293,196,CHAOTIC
2.510,2.720891,0.941041,0.000905,6.270079,198,CHAOTIC
2.515,2.728519,0.942907,0.017829,6.235649,198,CHAOTIC
2.520,2.728932,0.940249,0.021461,6.264770,199,CHAOTIC
2.525,2.717681,0.942630,0.013675,6.269912,198,CHAOTIC
2.530,2.729691,0.942901,0.049502,6.258651,196,CHAOTIC
2.535,2.727005,0.947066,0.042121,6.244148,196,CHAOTIC
2.540,2.727171,0.945057,0.012053,6.246178,199,CHAOTIC
2.545,2.737321,0.942442,0.106047,6.277219,198,CHAOTIC
2.550,2.740952,0.944060,0.015330,6.264415,197,CHAOTIC
2.555,2.740141,0.940041,0.000440,6.241708,198,CHAOTIC
2.560,2.746361,0.944091,0.069538,6.274205,196,CHAOTIC
2.565,2.747883,0.943662,0.016198,6.279100,197,CHAOTIC
2.570,2.749900,0.950195,0.007290,6.258751,197,CHAOTIC
2.575,2.745275,0.949199,0.055198,6.254175,193,CHAOTIC
2.580,2.743017,0.945309,0.022616,6.257278,195,CHAOTIC
2.585,2.737663,0.941534,0.026530,6.262126,191,CHAOTIC
2.590,2.743754,0.941715,0.060557,6.220592,199,CHAOTIC
2.595,-0.125747,-0.125745,0.384348,6.274834,16,QUASI-PERIODIC
2.600,2.746837,0.950919,0.026786,6.264254,198,CHAOTIC
2.605,2.749369,0.944471,0.010284,6.248381,199,CHAOTIC
2.610,2.758825,0.948647,0.055248,6.276990,193,CHAOTIC
2.615,2.764882,0.952403,0.014269,6.252432,197,CHAOTIC
2.620,2.774205,0.950320,0.018046,6.279496,195,CHAOTIC
2.625,2.783037,0.952003,0.015124,6.255021,198,CHAOTIC
2.630,2.780934,0.952450,0.006871,6.174378,198,CHAOTIC
2.635,2.783646,0.952228,0.003198,6.260580,198,CHAOTIC
2.640,2.794221,0.955038,0.071294,6.266861,198,CHAOTIC
2.645,2.788736,0.954574,0.026853,6.278742,195,CHAOTIC
2.650,2.798826,0.949390,0.001876,6.191600,197,CHAOTIC
2.655,2.802493,0.954150,0.033405,6.248077,197,CHAOTIC
2.660,2.815188,0.954623,0.008564,6.268020,199,CHAOTIC
2.665,2.814584,0.954688,0.012082,6.267415,192,CHAOTIC
2.670,2.813059,0.954631,0.010184,6.265004,194,CHAOTIC
2.675,2.828103,0.949417,0.002270,6.267967,198,CHAOTIC
2.680,2.830963,0.951148,0.105346,6.244712,198,CHAOTIC
2.685,2.843142,0.956306,0.087081,6.269321,199,CHAOTIC
2.690,2.840421,0.947265,0.078843,6.272568,195,CHAOTIC
2.695,2.841968,0.954390,0.055992,6.252978,197,CHAOTIC
2.700,2.850228,0.948794,0.003215,6.188262,194,CHAOTIC
2.705,2.856378,0.953221,0.017717,6.268551,197,CHAOTIC
2.710,2.863353,0.952424,0.017941,6.268021,195,CHAOTIC
2.715,2.875628,0.946991,0.066780,6.256606,197,CHAOTIC
2.720,2.873938,0.953794,0.016491,6.257455,195,CHAOTIC
2.725,2.884742,0.949749,0.000314,6.232839,197,CHAOTIC
2.730,2.885952,0.945485,0.002277,6.254023,197,CHAOTIC
2.735,2.899272,0.949249,0.009148,6.212401,192,CHAOTIC
2.740,2.897149,0.941437,0.044276,6.258542,195,CHAOTIC
2.745,2.899542,0.951053,0.024996,6.270143,196,CHAOTIC
2.750,2.901821,0.956407,0.010334,6.114574,196,CHAOTIC
2.755,2.902516,0.955525,0.055553,6.229963,199,CHAOTIC
2.760,2.904179,0.957101,0.000018,6.273475,196,CHAOTIC
2.765,2.908899,0.956500,0.013006,6.252622,199,CHAOTIC
2.770,2.906392,0.959836,0.020255,6.280209,193,CHAOTIC
2.775,2.910082,0.959588,0.003392,6.273288,198,CHAOTIC
2.780,2.929154,0.954651,0.099872,6.274981,198,CHAOTIC
2.785,2.926122,0.956105,0.003164,6.251017,199,CHAOTIC
2.790,2.933049,0.958947,0.004966,6.229907,195,CHAOTIC
2.795,2.939940,0.957731,0.085093,6.265357,197,CHAOTIC
2.800,2.944051,0.960428,0.101031,6.262675,199,CHAOTIC
2.805,2.950330,0.964335,0.003906,6.232073,193,CHAOTIC
2.810,2.962005,0.960640,0.021945,6.255646,195,CHAOTIC
2.815,2.960600,0.963054,0.030330,6.251361,193,CHAOTIC
2.820,2.971253,0.963048,0.006942,6.265194,197,CHAOTIC
2.825,2.975474,0.965413,0.001237,6.158466,196,CHAOTIC
2.830,2.983420,0.966520,0.026106,6.244075,198,CHAOTIC
2.835,2.981693,0.962087,0.004163,6.226855,199,CHAOTIC
2.840,2.981840,0.970234,0.003542,6.267999,194,CHAOTIC
2.845,2.986396,0.964317,0.016850,6.278739,198,CHAOTIC
2.850,2.990600,0.964158,0.102853,6.222969,197,CHAOTIC
2.855,2.987410,0.967822,0.047797,6.274726,200,CHAOTIC
2.860,3.001176,0.969016,0.035283,6.236412,199,CHAOTIC
2.865,3.001670,0.970066,0.059272,6.207458,198,CHAOTIC
2.870,3.010282,0.970581,0.037630,6.254968,197,CHAOTIC
2.875,3.005645,0.968942,0.016493,6.281736,199,CHAOTIC
2.880,3.008155,0.967989,0.003950,6.212337,195,CHAOTIC
2.885,3.017176,0.972225,0.032857,6.278644,198,CHAOTIC
2.890,3.015393,0.975592,0.048573,6.254045,198,CHAOTIC
2.895,3.016664,0.971503,0.016344,6.280315,197,CHAOTIC
2.900,3.019928,0.970433,0.044282,6.275003,198,CHAOTIC
2.905,3.024958,0.973713,0.059516,6.267878,196,CHAOTIC
2.910,3.024686,0.976637,0.008143,6.272602,197,CHAOTIC
2.915,3.022518,0.976788,0.026778,6.266236,194,CHAOTIC
2.920,3.025196,0.972533,0.118117,6.251345,197,CHAOTIC
2.925,3.022164,0.978363,0.014103,6.265379,197,CHAOTIC
2.930,3.024020,0.973043,0.038828,6.280345,196,CHAOTIC
2.935,3.022759,0.978764,0.001116,6.274701,197,CHAOTIC
2.940,3.033186,0.973860,0.094810,6.257637,198,CHAOTIC
2.945,3.030024,0.974095,0.036756,6.249706,200,CHAOTIC
2.950,3.029739,0.977866,0.002115,6.276397,197,CHAOTIC
2.955,3.030064,0.976869,0.015841,6.227736,198,CHAOTIC
2.960,3.032765,0.973090,0.023511,6.235070,200,CHAOTIC
2.965,3.038273,0.971563,0.012287,6.266972,198,CHAOTIC
2.970,3.037995,0.976588,0.024456,6.217424,193,CHAOTIC
2.975,3.037849,0.973336,0.033632,6.220128,195,CHAOTIC
2.980,3.042778,0.972238,0.021753,6.263305,197,CHAOTIC
2.985,3.041290,0.973329,0.022031,6.246801,194,CHAOTIC
2.990,3.044014,0.971823,0.030789,6.235979,197,CHAOTIC
2.995,3.048761,0.973865,0.017216,6.258618,197,CHAOTIC
3.000,3.047254,0.972686,0.109761,6.216588,199,CHAOTIC
3.005,3.046771,0.972225,0.106659,6.279958,193,CHAOTIC
3.010,3.055015,0.968071,0.006655,6.258598,196,CHAOTIC
3.015,3.056836,0.971765,0.084028,6.266791,199,CHAOTIC
3.020,3.064985,0.969908,0.017419,6.245778,196,CHAOTIC
3.025,3.065207,0.973082,0.054441,6.226112,196,CHAOTIC
3.030,3.070777,0.974598,0.073427,6.175569,199,CHAOTIC
3.035,3.071803,0.970817,0.026317,6.272501,196,CHAOTIC
3.040,3.076054,0.970898,0.025047,6.271309,197,CHAOTIC
3.045,3.077783,0.972608,0.046389,6.254711,199,CHAOTIC
3.050,3.086145,0.972613,0.047194,6.278539,195,CHAOTIC
3.055,3.101576,0.969889,0.014530,6.271145,199,CHAOTIC
3.060,3.098873,0.971331,0.106450,6.204273,197,CHAOTIC
3.065,3.100321,0.974272,0.020402,6.224156,198,CHAOTIC
3.070,3.106098,0.971658,0.024577,6.244254,195,CHAOTIC
3.075,3.112154,0.973122,0.008029,6.280984,198,CHAOTIC
3.080,3.114443,0.969268,0.030673,6.280850,197,CHAOTIC
3.085,3.110525,0.971652,0.028043,6.262917,196,CHAOTIC
3.090,3.115616,0.973807,0.020226,6.206840,197,CHAOTIC
3.095,3.118740,0.971758,0.018169,6.210060,195,CHAOTIC
3.100,3.131604,0.970321,0.022002,6.238126,197,CHAOTIC
3.105,3.130410,0.973689,0.017910,6.275066,196,CHAOTIC
3.110,3.143196,0.970061,0.052569,6.254550,196,CHAOTIC
3.115,3.145571,0.970059,0.045093,6.264124,198,CHAOTIC
3.120,3.146862,0.973213,0.011534,6.277287,194,CHAOTIC
3.125,3.153514,0.969853,0.032850,6.261787,196,CHAOTIC
3.130,3.151704,0.969791,0.033630,6.256018,199,CHAOTIC
3.135,3.162413,0.971492,0.000036,6.273904,199,CHAOTIC
3.140,3.173630,0.969828,0.024539,6.224445,195,CHAOTIC
3.145,3.160972,0.970802,0.047500,6.269247,199,CHAOTIC
3.150,3.174250,0.966774,0.136418,6.254123,197,CHAOTIC
3.155,3.177628,0.974273,0.029922,6.251014,195,CHAOTIC
3.160,3.187679,0.974060,0.076886,6.211829,199,CHAOTIC
3.165,3.185839,0.974337,0.025110,6.266810,197,CHAOTIC
3.170,3.182520,0.973834,0.044915,6.280761,196,CHAOTIC
3.175,3.189778,0.974109,0.001396,6.219547,197,CHAOTIC
3.180,3.200987,0.976959,0.036450,6.282866,196,CHAOTIC
3.185,3.195072,0.977014,0.046464,6.240075,197,CHAOTIC
3.190,3.198265,0.972646,0.026039,6.235359,195,CHAOTIC
3.195,3.206117,0.974035,0.047882,6.282195,197,CHAOTIC
3.200,3.208277,0.977081,0.004402,6.233217,196,CHAOTIC
3.205,3.213072,0.976448,0.018501,6.218862,199,CHAOTIC
3.210,3.222174,0.970851,0.011751,6.232912,200,CHAOTIC
3.215,3.222967,0.975954,0.043850,6.231550,200,CHAOTIC
3.220,3.224625,0.977865,0.007806,6.242790,195,CHAOTIC
3.225,3.228475,0.978588,0.015566,6.282439,199,CHAOTIC
3.230,3.238684,0.977187,0.006491,6.266691,199,CHAOTIC
3.235,3.235742,0.975220,0.038107,6.266671,200,CHAOTIC
3.240,3.245063,0.975123,0.016599,6.252522,198,CHAOTIC
3.245,3.243885,0.975241,0.007529,6.213030,200,CHAOTIC
3.250,3.241603,0.977795,0.013863,6.274640,196,CHAOTIC
3.255,3.239712,0.970202,0.058855,6.281872,194,CHAOTIC
3.260,3.246726,0.973610,0.086246,6.275734,199,CHAOTIC
3.265,3.252292,0.976332,0.025100,6.274754,195,CHAOTIC
3.270,3.252583,0.969621,0.046484,6.228629,197,CHAOTIC
3.275,3.250615,0.979155,0.067539,6.276405,199,CHAOTIC
3.280,3.254055,0.968602,0.063973,6.257465,196,CHAOTIC
3.285,3.259682,0.979895,0.014751,6.275731,198,CHAOTIC
3.290,3.256653,0.977179,0.001677,6.237063,198,CHAOTIC
3.295,3.257679,0.976405,0.033144,6.265146,197,CHAOTIC
3.300,3.258450,0.978345,0.062581,6.208039,199,CHAOTIC
3.305,3.257794,0.977443,0.001944,6.210467,195,CHAOTIC
3.310,3.265659,0.977102,0.040368,6.188539,199,CHAOTIC
3.315,3.261828,0.977479,0.057881,6.278103,200,CHAOTIC
3.320,3.262967,0.975816,0.009911,6.267271,193,CHAOTIC
3.325,3.267298,0.974777,0.062282,6.247594,195,CHAOTIC
3.330,3.266849,0.974898,0.021144,6.279527,197,CHAOTIC
3.335,3.273432,0.973335,0.003434,6.282486,195,CHAOTIC
3.340,3.270349,0.977137,0.055992,6.265079,199,CHAOTIC
3.345,3.275389,0.974384,0.108431,6.270060,197,CHAOTIC
3.350,3.269153,0.979139,0.024251,6.280266,196,CHAOTIC
3.355,3.274929,0.972586,0.018999,6.249240,199,CHAOTIC
3.360,3.269078,0.975390,0.028603,6.282385,200,CHAOTIC
3.365,3.283482,0.974299,0.022809,6.279671,195,CHAOTIC
3.370,3.282141,0.974851,0.012896,6.229196,196,CHAOTIC
3.375,3.284207,0.978144,0.010599,6.265809,198,CHAOTIC
3.380,3.297288,0.970206,0.055431,6.208434,198,CHAOTIC
3.385,3.296896,0.977105,0.008568,6.216360,194,CHAOTIC
3.390,3.303599,0.975927,0.016372,6.247973,198,CHAOTIC
3.395,3.294640,0.976307,0.009099,6.224176,197,CHAOTIC
3.400,3.297399,0.979135,0.001321,6.243743,196,CHAOTIC
3.405,3.303437,0.977845,0.011440,6.268140,197,CHAOTIC
3.410,3.304121,0.976779,0.008009,6.274983,200,CHAOTIC
3.415,3.306409,0.977215,0.059341,6.244439,196,CHAOTIC
3.420,3.313416,0.977864,0.075482,6.256248,198,CHAOTIC
3.425,3.304674,0.980341,0.013150,6.272960,197,CHAOTIC
3.430,3.315638,0.982285,0.016042,6.244708,200,CHAOTIC
3.435,3.310881,0.983572,0.014329,6.230546,197,CHAOTIC
3.440,3.321505,0.984802,0.015764,6.256619,198,CHAOTIC
3.445,3.325331,0.977960,0.013611,6.276893,195,CHAOTIC
3.450,3.324480,0.979045,0.000433,6.250279,196,CHAOTIC
3.455,3.333435,0.983050,0.022522,6.266864,199,CHAOTIC
3.460,3.326818,0.982922,0.001733,6.272252,199,CHAOTIC
3.465,3.336842,0.980354,0.036724,6.282243,198,CHAOTIC
3.470,3.337451,0.984509,0.021918,6.272574,198,CHAOTIC
3.475,3.341711,0.979730,0.000937,6.245711,196,CHAOTIC
3.480,3.345697,0.981598,0.041301,6.265354,195,CHAOTIC
3.485,3.351931,0.986724,0.028903,6.272981,200,CHAOTIC
3.490,3.357076,0.988279,0.005160,6.225149,198,CHAOTIC
3.495,3.354114,0.983374,0.055737,6.257130,199,CHAOTIC
3.500,3.363369,0.981175,0.037691,6.131036,198,CHAOTIC
3.505,3.361675,0.991379,0.060700,6.279742,198,CHAOTIC
3.510,3.366217,0.987558,0.017134,6.264789,198,CHAOTIC
3.515,3.370494,0.988857,0.024655,6.240059,195,CHAOTIC
3.520,3.367693,0.986158,0.005243,6.250587,198,CHAOTIC
3.525,3.374632,0.986483,0.034934,6.213116,198,CHAOTIC
3.530,3.374666,0.986984,0.008043,6.271720,198,CHAOTIC
3.535,3.382923,0.989572,0.002028,6.259262,197,CHAOTIC
3.540,3.380858,0.989766,0.009512,6.281812,194,CHAOTIC
3.545,3.380540,0.985714,0.018129,6.281466,194,CHAOTIC
3.550,3.381280,0.988840,0.002249,6.265114,196,CHAOTIC
3.555,3.388241,0.988960,0.023671,6.241612,197,CHAOTIC
3.560,3.391430,0.986572,0.003350,6.276828,196,CHAOTIC
3.565,3.395314,0.987492,0.001130,6.249702,197,CHAOTIC
3.570,3.396696,0.985460,0.005250,6.269333,198,CHAOTIC
3.575,3.403854,0.984834,0.020818,6.268357,199,CHAOTIC
3.580,3.401270,0.982807,0.016191,6.274617,196,CHAOTIC
3.585,3.403772,0.985488,0.026392,6.281393,193,CHAOTIC
3.590,3.411186,0.985478,0.012022,6.254776,198,CHAOTIC
3.595,3.410694,0.984386,0.000057,6.262571,195,CHAOTIC
3.600,3.408423,0.981749,0.022415,6.277797,198,CHAOTIC
3.605,3.408276,0.986218,0.004366,6.277462,197,CHAOTIC
3.610,3.407689,0.990562,0.026509,6.267928,195,CHAOTIC
3.615,3.416531,0.989294,0.007358,6.263763,198,CHAOTIC
3.620,3.418156,0.991482,0.014108,6.206854,197,CHAOTIC
3.625,3.415340,0.988378,0.018133,6.223183,199,CHAOTIC
3.630,3.410763,0.987314,0.029089,6.282645,199,CHAOTIC
3.635,3.419953,0.993284,0.000845,6.242180,196,CHAOTIC
3.640,3.420597,0.988924,0.004903,6.282649,199,CHAOTIC
3.645,3.429933,0.986082,0.026657,6.223055,195,CHAOTIC
3.650,3.427087,0.985059,0.006975,6.281877,198,CHAOTIC
3.655,3.422025,0.989796,0.011600,6.258472,196,CHAOTIC
3.660,3.432568,0.991995,0.034287,6.234752,198,CHAOTIC
3.665,3.433555,0.985162,0.093960,6.264384,194,CHAOTIC
3.670,3.432897,0.994711,0.033349,6.280332,197,CHAOTIC
3.675,3.434448,0.991376,0.002087,6.279052,197,CHAOTIC
3.680,3.435371,0.987654,0.064032,6.186926,198,CHAOTIC
3.685,3.435018,0.989325,0.021471,6.266436,196,CHAOTIC
3.690,3.443419,0.986652,0.034780,6.257868,198,CHAOTIC
3.695,3.442136,0.988557,0.005468,6.271817,195,CHAOTIC
3.700,3.440759,0.991406,0.030741,6.269231,195,CHAOTIC
3.705,3.446116,0.989355,0.068981,6.272611,197,CHAOTIC
3.710,3.449286,0.991238,0.017991,6.238011,196,CHAOTIC
3.715,3.447638,0.987262,0.027620,6.268384,197,CHAOTIC
3.720,3.455634,0.990070,0.018849,6.275571,194,CHAOTIC
3.725,3.454960,0.989737,0.001810,6.279337,199,CHAOTIC
3.730,3.458804,0.989362,0.008738,6.272724,197,CHAOTIC
3.735,3.457934,0.989863,0.009391,6.273612,199,CHAOTIC
3.740,3.471385,0.987986,0.011587,6.239527,198,CHAOTIC
3.745,3.463386,0.994000,0.004008,6.263117,196,CHAOTIC
3.750,3.475643,0.989453,0.004852,6.283167,199,CHAOTIC
3.755,3.470197,0.990795,0.019659,6.256395,197,CHAOTIC
3.760,3.477975,0.995187,0.049956,6.272369,197,CHAOTIC
3.765,3.476439,0.989136,0.030982,6.250773,196,CHAOTIC
3.770,3.476752,0.991850,0.019807,6.227556,195,CHAOTIC
3.775,3.476919,0.993649,0.129689,6.278259,193,CHAOTIC
3.780,3.489587,0.991994,0.069717,6.269895,197,CHAOTIC
3.785,3.480530,0.993115,0.015103,6.165456,199,CHAOTIC
3.790,0.000016,-0.094423,0.009407,6.259202,199,QUASI-PERIODIC
3.795,3.483089,0.987148,0.000910,6.250260,198,CHAOTIC
3.800,3.480501,0.988040,0.006261,6.273023,196,CHAOTIC
3.805,3.483907,0.988063,0.139092,6.257243,197,CHAOTIC
3.810,3.491100,0.991547,0.020723,6.244715,198,CHAOTIC
3.815,3.494218,0.986740,0.002919,6.254875,197,CHAOTIC
3.820,3.490039,0.989565,0.009721,6.234314,199,CHAOTIC
3.825,3.503950,0.989479,0.039122,6.267779,197,CHAOTIC
3.830,3.511732,0.981052,0.044529,6.277325,196,CHAOTIC
3.835,3.498192,0.988054,0.005444,6.249305,198,CHAOTIC
3.840,3.509896,0.984560,0.060065,6.266859,197,CHAOTIC
3.845,3.516109,0.991957,0.015240,6.258852,195,CHAOTIC
3.850,3.513394,0.982991,0.014500,6.191886,199,CHAOTIC
3.855,3.520135,0.985273,0.033433,6.244742,199,CHAOTIC
3.860,3.515821,0.985879,0.028581,6.217058,195,CHAOTIC
3.865,3.517107,0.987933,0.056419,6.262935,197,CHAOTIC
3.870,3.521199,0.988141,0.014420,6.263416,196,CHAOTIC
3.875,3.522925,0.986239,0.065539,6.274938,193,CHAOTIC
3.880,3.533036,0.987740,0.162418,6.268892,195,CHAOTIC
3.885,3.534728,0.985391,0.115326,6.264722,197,CHAOTIC
3.890,3.543672,0.984586,0.012275,6.280962,198,CHAOTIC
3.895,3.545768,0.984163,0.028661,6.182392,196,CHAOTIC
3.900,3.543425,0.984571,0.026304,6.277465,195,CHAOTIC
3.905,3.551055,0.983862,0.075698,6.277809,197,CHAOTIC
3.910,3.549936,0.981418,0.022907,6.278899,195,CHAOTIC
3.915,3.555714,0.986456,0.058640,6.274065,197,CHAOTIC
3.920,3.555638,0.983490,0.053052,6.242252,195,CHAOTIC
3.925,3.553516,0.985261,0.064031,6.233653,198,CHAOTIC
3.930,3.552649,0.985830,0.012909,6.255649,197,CHAOTIC
3.935,3.558069,0.984253,0.042134,6.247182,200,CHAOTIC
3.940,3.568291,0.985821,0.043978,6.281941,194,CHAOTIC
3.945,3.565166,0.989654,0.001488,6.264458,198,CHAOTIC
3.950,3.574006,0.987162,0.053771,6.236199,199,CHAOTIC
3.955,3.573226,0.984665,0.068995,6.279509,197,CHAOTIC
3.960,3.579960,0.986557,0.001293,6.269788,196,CHAOTIC
3.965,3.594981,0.983959,0.009566,6.208043,197,CHAOTIC
3.970,3.591202,0.987118,0.139910,6.281865,197,CHAOTIC
3.975,3.586471,0.991784,0.018855,6.201964,196,CHAOTIC
3.980,3.594017,0.988792,0.038149,6.215070,195,CHAOTIC
3.985,3.595378,0.991429,0.001973,6.226254,196,CHAOTIC
3.990,3.597803,0.991900,0.007006,6.251133,198,CHAOTIC
3.995,3.604091,0.989170,0.079198,6.272454,192,CHAOTIC
4.000,3.609892,0.994226,0.032453,6.273264,196,CHAOTIC
4.005,3.621075,0.992850,0.010204,6.275073,197,CHAOTIC
4.010,3.616877,0.992593,0.000428,6.249594,198,CHAOTIC
4.015,3.621473,0.993493,0.018574,6.247320,198,CHAOTIC
4.020,3.627817,0.994797,0.014904,6.222964,195,CHAOTIC
4.025,3.628767,0.990069,0.013903,6.281132,198,CHAOTIC
4.030,3.634610,0.988991,0.011988,6.268246,195,CHAOTIC
4.035,3.644093,0.990490,0.014467,6.267972,198,CHAOTIC
4.040,3.637718,0.993070,0.050971,6.251651,194,CHAOTIC
4.045,3.648681,0.989983,0.013765,6.270804,196,CHAOTIC
4.050,3.646767,0.992567,0.011947,6.255796,197,CHAOTIC
4.055,3.645977,0.992901,0.033909,6.264365,196,CHAOTIC
4.060,3.642841,0.995241,0.014206,6.274813,195,CHAOTIC
4.065,3.653747,0.994497,0.058094,6.239086,195,CHAOTIC
4.070,3.648215,0.997038,0.031161,6.266639,193,CHAOTIC
4.075,3.654710,0.997779,0.018750,6.199613,198,CHAOTIC
4.080,3.656486,0.995927,0.016605,6.174129,196,CHAOTIC
4.085,3.654894,0.995850,0.062325,6.211808,197,CHAOTIC
4.090,3.661073,0.991618,0.045765,6.222891,197,CHAOTIC
4.095,3.662821,0.995151,0.057833,6.273468,197,CHAOTIC
4.100,3.665315,0.997927,0.007473,6.277934,199,CHAOTIC
4.105,3.672088,0.996944,0.035140,6.266007,199,CHAOTIC
4.110,3.676211,0.996771,0.029180,6.261814,197,CHAOTIC
4.115,3.677962,0.998777,0.002929,6.249965,199,CHAOTIC
4.120,3.675191,0.994816,0.003756,6.246920,197,CHAOTIC
4.125,3.669388,0.995133,0.016722,6.275169,197,CHAOTIC
4.130,3.673832,0.992134,0.030336,6.267237,198,CHAOTIC
4.135,3.675199,0.998011,0.025378,6.248244,196,CHAOTIC
4.140,3.669899,0.994364,0.133308,6.265844,200,CHAOTIC
4.145,3.668957,0.996035,0.036543,6.227502,198,CHAOTIC
4.150,3.673409,0.996225,0.025950,6.275652,197,CHAOTIC
4.155,3.688134,0.995482,0.025221,6.270802,199,CHAOTIC
4.160,3.679030,0.993550,0.023631,6.275787,196,CHAOTIC
4.165,3.692744,0.993609,0.044190,6.277471,197,CHAOTIC
4.170,3.687017,0.998481,0.018158,6.273126,200,CHAOTIC
4.175,3.690314,0.995324,0.012636,6.218958,194,CHAOTIC
4.180,3.693710,0.993066,0.025558,6.212166,197,CHAOTIC
4.185,3.702477,0.996998,0.004521,6.227347,197,CHAOTIC
4.190,3.681446,0.995047,0.011276,6.275125,195,CHAOTIC
4.195,3.694013,0.995205,0.003805,6.253536,194,CHAOTIC
4.200,3.689860,0.994762,0.009376,6.270782,199,CHAOTIC
4.205,3.689174,0.998853,0.025207,6.252852,197,CHAOTIC
4.210,3.691097,0.994118,0.117042,6.265657,198,CHAOTIC
4.215,3.699363,0.995339,0.003764,6.268412,195,CHAOTIC
4.220,3.703882,0.994167,0.037491,6.271234,196,CHAOTIC
4.225,3.702068,0.993989,0.043432,6.283134,197,CHAOTIC
4.230,3.715290,0.989744,0.010827,6.222222,198,CHAOTIC
4.235,3.721257,0.992618,0.051548,6.249946,195,CHAOTIC
4.240,3.719154,0.994102,0.078696,6.231038,196,CHAOTIC
4.245,3.717084,0.994511,0.013752,6.260782,198,CHAOTIC
4.250,3.718696,0.996709,0.020084,6.261243,196,CHAOTIC
4.255,3.723880,0.998389,0.106390,6.263199,195,CHAOTIC
4.260,3.730276,0.999773,0.048018,6.244667,195,CHAOTIC
4.265,3.729972,0.998664,0.004621,6.244789,193,CHAOTIC
4.270,3.736239,0.998603,0.008266,6.262609,196,CHAOTIC
4.275,3.727454,0.996531,0.008547,6.197985,198,CHAOTIC
4.280,3.729005,0.997957,0.001660,6.280139,194,CHAOTIC
4.285,3.736782,0.996642,0.027249,6.278143,197,CHAOTIC
4.290,3.744664,0.995864,0.116220,6.267470,195,CHAOTIC
4.295,3.745669,0.999252,0.026473,6.278899,196,CHAOTIC
4.300,3.750689,0.998594,0.005466,6.198056,197,CHAOTIC
4.305,3.754470,0.997544,0.000471,6.277417,197,CHAOTIC
4.310,3.750009,0.998307,0.020179,6.273989,195,CHAOTIC
4.315,3.759110,0.997183,0.004359,6.257220,197,CHAOTIC
4.320,3.753689,0.995680,0.001697,6.281333,198,CHAOTIC
4.325,3.766602,0.997986,0.008648,6.271680,196,CHAOTIC
4.330,3.766450,1.000300,0.041911,6.276503,197,CHAOTIC
4.335,3.766205,0.998949,0.029192,6.262717,197,CHAOTIC
4.340,3.782695,0.997430,0.014590,6.248586,197,CHAOTIC
4.345,3.782737,1.002127,0.080634,6.218128,199,CHAOTIC
4.350,3.780213,1.000285,0.013169,6.111912,194,CHAOTIC
4.355,3.780791,1.001178,0.136730,6.242100,198,CHAOTIC
4.360,3.783231,0.999961,0.030312,6.203601,198,CHAOTIC
4.365,3.791480,1.000072,0.012366,6.233199,198,CHAOTIC
4.370,3.788794,1.001045,0.013198,6.201038,197,CHAOTIC
4.375,3.799960,0.999366,0.015634,6.244422,197,CHAOTIC
4.380,3.803886,1.000511,0.012468,6.278344,195,CHAOTIC
4.385,3.809954,0.999507,0.011108,6.279512,198,CHAOTIC
4.390,3.802001,1.000368,0.003342,6.246418,197,CHAOTIC
4.395,3.809621,0.999855,0.016185,6.282398,198,CHAOTIC
4.400,3.819341,1.002390,0.046094,6.222997,195,CHAOTIC
4.405,3.809861,0.999899,0.022868,6.252579,196,CHAOTIC
4.410,3.820060,0.998503,0.025021,6.275916,199,CHAOTIC
4.415,3.820091,0.998636,0.011230,6.274232,196,CHAOTIC
4.420,3.817702,1.000333,0.047687,6.268583,199,CHAOTIC
4.425,3.829492,1.000521,0.026219,6.273974,199,CHAOTIC
4.430,3.820950,0.999332,0.007871,6.276086,198,CHAOTIC
4.435,3.824718,1.002330,0.013000,6.149641,193,CHAOTIC
4.440,3.828856,1.001145,0.045858,6.207627,197,CHAOTIC
4.445,3.833332,1.000210,0.011514,6.197563,195,CHAOTIC
4.450,3.835460,1.000660,0.010299,6.268728,196,CHAOTIC
4.455,3.838430,1.001343,0.021938,6.236046,198,CHAOTIC
4.460,3.840615,1.000025,0.039944,6.249585,195,CHAOTIC
4.465,3.842597,1.000398,0.020512,6.213590,197,CHAOTIC
4.470,3.847208,0.999023,0.041406,6.281520,196,CHAOTIC
4.475,3.848148,0.996067,0.004578,6.256668,195,CHAOTIC
4.480,3.849349,1.000742,0.178754,6.282385,199,CHAOTIC
