# MCL bifurcation sweep (fine step-0.005) — Doc ID MCL-BIFSWEEP-2026-0719-001
# engine v6.0.0 frozen copy, seed 12345678901234, (p,q)=(3,5), QR 1e5 iters
K,lmax,l2,th_min,th_max,buckets,class
0.910,1.100264,0.473148,0.015914,6.271298,198,CHAOTIC
0.915,1.100305,0.490072,0.073804,6.277515,198,CHAOTIC
0.920,1.116004,0.487914,0.039979,6.264011,199,CHAOTIC
0.925,1.126358,0.496551,0.016618,6.239567,198,CHAOTIC
0.930,1.133030,0.493061,0.025187,6.203353,200,CHAOTIC
0.935,1.136937,0.512292,0.001989,6.230316,197,CHAOTIC
0.940,1.138438,0.524212,0.004682,6.271583,200,CHAOTIC
0.945,1.137330,0.529867,0.034996,6.271449,200,CHAOTIC
0.950,1.154816,0.535177,0.002329,6.166477,195,CHAOTIC
0.955,1.169274,0.532601,0.066809,6.263689,194,CHAOTIC
0.960,1.170040,0.525142,0.000806,6.249754,199,CHAOTIC
0.965,1.171236,0.520276,0.006247,6.247058,198,CHAOTIC
0.970,1.175800,0.519536,0.017179,6.266161,199,CHAOTIC
0.975,1.178792,0.524107,0.038711,6.276033,200,CHAOTIC
0.980,1.176436,0.534036,0.102412,6.238833,200,CHAOTIC
0.985,1.180338,0.531667,0.003243,6.261463,194,CHAOTIC
0.990,1.194064,0.542918,0.008450,6.252499,199,CHAOTIC
0.995,1.209679,0.552638,0.009729,6.280632,196,CHAOTIC
1.000,1.218577,0.558664,0.020497,6.280497,196,CHAOTIC
1.005,1.227506,0.553381,0.006128,6.249704,199,CHAOTIC
1.010,1.239344,0.556706,0.041081,6.242333,196,CHAOTIC
1.015,1.236667,0.551050,0.062886,6.263846,196,CHAOTIC
1.020,1.242049,0.560789,0.002830,6.280203,196,CHAOTIC
1.025,1.236915,0.565865,0.002223,6.184760,195,CHAOTIC
1.030,1.255249,0.575247,0.055593,6.262015,197,CHAOTIC
1.035,1.254229,0.575133,0.086591,6.272105,196,CHAOTIC
1.040,1.257784,0.577261,0.002206,6.256887,199,CHAOTIC
1.045,1.262603,0.568229,0.022716,6.255208,197,CHAOTIC
1.050,1.255964,0.559767,0.021412,6.240425,193,CHAOTIC
1.055,1.269697,0.561157,0.015294,6.270442,199,CHAOTIC
1.060,1.279960,0.574727,0.027297,6.273037,200,CHAOTIC
1.065,1.293397,0.584100,0.004497,6.253055,198,CHAOTIC
1.070,1.298581,0.597239,0.011421,6.270166,199,CHAOTIC
1.075,1.307759,0.612311,0.026645,6.279563,195,CHAOTIC
1.080,1.307129,0.618520,0.062007,6.260022,199,CHAOTIC
1.085,1.311421,0.633560,0.068532,6.280961,196,CHAOTIC
1.090,1.314162,0.639532,0.001414,6.264840,196,CHAOTIC
1.095,1.314138,0.641543,0.017481,6.249871,196,CHAOTIC
1.100,1.316323,0.647509,0.024063,6.083523,197,CHAOTIC
1.105,1.323104,0.646539,0.006134,6.280915,198,CHAOTIC
1.110,1.332409,0.653083,0.129369,6.256651,192,CHAOTIC
1.115,1.334544,0.646222,0.038662,6.224983,196,CHAOTIC
1.120,1.352803,0.648641,0.041381,6.239338,197,CHAOTIC
1.125,1.356140,0.656650,0.059642,6.261050,198,CHAOTIC
1.130,1.358362,0.670638,0.002447,6.214470,198,CHAOTIC
1.135,1.378775,0.671531,0.014194,6.238088,196,CHAOTIC
1.140,1.383666,0.685327,0.064298,6.250490,198,CHAOTIC
1.145,1.391822,0.676848,0.007557,6.236998,196,CHAOTIC
1.150,1.395185,0.673922,0.035757,6.282710,195,CHAOTIC
1.155,1.410873,0.671561,0.009272,6.179556,196,CHAOTIC
1.160,1.427315,0.678072,0.032654,6.169885,197,CHAOTIC
1.165,1.445045,0.680227,0.037678,6.271720,195,CHAOTIC
1.170,1.453611,0.671491,0.014406,6.234486,194,CHAOTIC
1.175,1.466492,0.668536,0.040541,6.219552,194,CHAOTIC
1.180,1.468882,0.673251,0.072106,6.210485,199,CHAOTIC
1.185,1.482884,0.683033,0.034048,6.279045,197,CHAOTIC
1.190,1.488444,0.681241,0.007235,6.274946,197,CHAOTIC
1.195,1.499299,0.681653,0.004575,6.167208,193,CHAOTIC
1.200,1.508946,0.669174,0.005740,6.276859,197,CHAOTIC
1.205,1.533352,0.675282,0.012309,6.241012,199,CHAOTIC
1.210,1.538798,0.676234,0.019746,6.243849,197,CHAOTIC
1.215,1.549997,0.676604,0.000373,6.264725,199,CHAOTIC
1.220,-0.066842,-0.066833,0.002630,6.181254,196,QUASI-PERIODIC
1.225,1.567403,0.685304,0.001026,6.280383,196,CHAOTIC
1.230,1.581100,0.695362,0.032325,6.271411,196,CHAOTIC
1.235,1.594781,0.690766,0.012092,6.246373,197,CHAOTIC
1.240,1.595009,0.698927,0.002844,6.221188,195,CHAOTIC
1.245,1.604916,0.696467,0.010876,6.262563,199,CHAOTIC
1.250,1.609166,0.697936,0.000176,6.248238,196,CHAOTIC
1.255,1.620911,0.710257,0.150378,6.226749,198,CHAOTIC
1.260,1.626455,0.703818,0.008179,6.194632,198,CHAOTIC
1.265,1.629995,0.706322,0.028072,6.267656,196,CHAOTIC
1.270,1.648280,0.708129,0.031839,6.271206,195,CHAOTIC
1.275,1.652951,0.697866,0.033950,6.244340,197,CHAOTIC
1.280,1.661363,0.695377,0.003536,6.178197,196,CHAOTIC
1.285,1.662927,0.702467,0.054034,6.254487,196,CHAOTIC
1.290,1.678146,0.708498,0.068573,6.205947,195,CHAOTIC
1.295,1.683330,0.707149,0.034278,6.219920,195,CHAOTIC
1.300,1.688061,0.706475,0.071429,6.273426,196,CHAOTIC
1.305,1.690670,0.715419,0.027944,6.223169,197,CHAOTIC
1.310,1.691928,0.703220,0.040371,6.232774,197,CHAOTIC
1.315,1.699445,0.708049,0.047059,6.179949,197,CHAOTIC
1.320,1.709205,0.713945,0.018307,6.242527,197,CHAOTIC
1.325,1.714612,0.715091,0.000781,6.277658,196,CHAOTIC
1.330,1.728156,0.727820,0.035569,6.239903,198,CHAOTIC
1.335,1.736807,0.727539,0.037630,6.243439,195,CHAOTIC
1.340,1.741104,0.734882,0.033906,6.273561,195,CHAOTIC
1.345,1.743045,0.736071,0.057942,6.243793,196,CHAOTIC
1.350,1.747367,0.739222,0.083619,6.279209,199,CHAOTIC
1.355,1.757730,0.740400,0.027655,6.240283,194,CHAOTIC
1.360,1.766270,0.750322,0.066834,6.242684,198,CHAOTIC
1.365,1.771286,0.747863,0.008479,6.231285,198,CHAOTIC
1.370,1.774840,0.749127,0.046826,6.214028,199,CHAOTIC
1.375,1.772092,0.755829,0.021437,6.240539,195,CHAOTIC
1.380,1.783345,0.763034,0.121721,6.279644,199,CHAOTIC
1.385,1.784317,0.762049,0.014834,6.226835,198,CHAOTIC
1.390,1.795213,0.769801,0.030482,6.270509,196,CHAOTIC
1.395,1.790825,0.763701,0.033794,6.242911,199,CHAOTIC
1.400,1.792966,0.765215,0.013715,6.240947,195,CHAOTIC
1.405,1.791683,0.761140,0.016952,6.259893,193,CHAOTIC
1.410,1.796459,0.753520,0.060701,6.279019,199,CHAOTIC
1.415,1.792657,0.755992,0.009261,6.261286,195,CHAOTIC
1.420,1.796740,0.755355,0.004001,6.250838,198,CHAOTIC
1.425,1.803437,0.762496,0.054607,6.210481,197,CHAOTIC
1.430,1.810948,0.765619,0.004394,6.276836,198,CHAOTIC
1.435,1.820311,0.770308,0.024693,6.255974,197,CHAOTIC
1.440,1.825862,0.771493,0.024743,6.246730,195,CHAOTIC
1.445,1.827105,0.772457,0.024573,6.255581,198,CHAOTIC
1.450,1.828487,0.780108,0.008188,6.255512,194,CHAOTIC
1.455,1.837373,0.784919,0.022320,6.241845,192,CHAOTIC
1.460,1.849874,0.779600,0.037475,6.276295,197,CHAOTIC
1.465,1.849897,0.775986,0.091567,6.247123,196,CHAOTIC
1.470,1.845725,0.774287,0.055354,6.263526,197,CHAOTIC
1.475,1.848211,0.771686,0.002726,6.203665,198,CHAOTIC
1.480,1.853074,0.770650,0.032810,6.269690,197,CHAOTIC
1.485,1.849466,0.768840,0.009096,6.173317,194,CHAOTIC
1.490,1.841618,0.758240,0.023711,6.276215,196,CHAOTIC
1.495,1.853045,0.759614,0.026410,6.276681,193,CHAOTIC
1.500,1.854307,0.760162,0.005460,6.271576,195,CHAOTIC
1.505,1.861552,0.760866,0.022648,6.273527,196,CHAOTIC
1.510,1.859025,0.776795,0.000695,6.272697,197,CHAOTIC
1.515,1.874498,0.781930,0.040866,6.214974,199,CHAOTIC
1.520,1.882980,0.786603,0.033683,6.241764,197,CHAOTIC
1.525,1.886843,0.788317,0.000344,6.242983,197,CHAOTIC
1.530,1.892871,0.787998,0.053912,6.262692,198,CHAOTIC
1.535,1.893825,0.788168,0.026272,6.253208,197,CHAOTIC
1.540,1.900014,0.804534,0.037277,6.270202,199,CHAOTIC
1.545,1.907728,0.798360,0.038614,6.245303,195,CHAOTIC
1.550,1.920796,0.805116,0.018653,6.264523,196,CHAOTIC
1.555,1.920020,0.802057,0.050975,6.279309,194,CHAOTIC
1.560,1.929437,0.799358,0.016607,6.249155,197,CHAOTIC
1.565,1.936949,0.805303,0.012507,6.280765,197,CHAOTIC
1.570,1.939951,0.811279,0.109093,6.262422,197,CHAOTIC
1.575,1.944933,0.801578,0.026006,6.186698,197,CHAOTIC
1.580,1.950373,0.814342,0.001270,6.280046,198,CHAOTIC
1.585,1.956294,0.817165,0.019053,6.146950,198,CHAOTIC
1.590,1.963533,0.826159,0.020091,6.270549,196,CHAOTIC
1.595,1.967515,0.817438,0.010162,6.258626,194,CHAOTIC
1.600,1.970167,0.824742,0.000135,6.282999,198,CHAOTIC
1.605,1.977291,0.820808,0.025859,6.280961,198,CHAOTIC
1.610,1.986769,0.826495,0.030715,6.261753,197,CHAOTIC
1.615,1.990542,0.828560,0.129377,6.278775,195,CHAOTIC
1.620,1.994955,0.835239,0.002084,6.216724,196,CHAOTIC
1.625,2.007957,0.833598,0.028033,6.277328,199,CHAOTIC
1.630,2.016980,0.837088,0.015840,6.244464,196,CHAOTIC
1.635,2.016523,0.837375,0.011019,6.276879,199,CHAOTIC
1.640,2.032019,0.836869,0.000447,6.243375,197,CHAOTIC
1.645,2.035185,0.837485,0.031448,6.241892,197,CHAOTIC
1.650,2.037972,0.844841,0.021084,6.253842,197,CHAOTIC
1.655,2.048984,0.840628,0.000666,6.259805,196,CHAOTIC
1.660,2.054343,0.843867,0.019065,6.262567,198,CHAOTIC
1.665,2.061156,0.844981,0.054940,6.240203,197,CHAOTIC
1.670,2.062192,0.851984,0.003119,6.274768,196,CHAOTIC
1.675,2.065841,0.854642,0.035137,6.232917,196,CHAOTIC
1.680,2.078132,0.847940,0.007663,6.280322,195,CHAOTIC
1.685,2.075838,0.839384,0.132083,6.283125,197,CHAOTIC
1.690,2.088244,0.841176,0.005792,6.282887,193,CHAOTIC
1.695,2.099693,0.837955,0.017330,6.244622,199,CHAOTIC
1.700,2.103811,0.843441,0.016121,6.277449,199,CHAOTIC
1.705,2.108106,0.842296,0.035095,6.249691,199,CHAOTIC
1.710,2.113087,0.840325,0.005137,6.270871,196,CHAOTIC
1.715,2.119251,0.837643,0.020388,6.204018,196,CHAOTIC
1.720,2.120782,0.843994,0.080704,6.250938,193,CHAOTIC
1.725,2.126876,0.849488,0.022466,6.279578,197,CHAOTIC
1.730,2.122876,0.851630,0.029477,6.239860,199,CHAOTIC
1.735,2.130738,0.852404,0.024747,6.266682,197,CHAOTIC
1.740,2.130005,0.849556,0.041867,6.278342,196,CHAOTIC
1.745,2.135107,0.850035,0.011150,6.261259,196,CHAOTIC
1.750,2.139627,0.848225,0.069774,6.245291,197,CHAOTIC
1.755,2.141305,0.840522,0.026815,6.194706,197,CHAOTIC
1.760,2.148826,0.841056,0.025338,6.275300,196,CHAOTIC
1.765,2.142943,0.839134,0.068333,6.260870,197,CHAOTIC
1.770,2.134647,0.829137,0.027475,6.259564,192,CHAOTIC
1.775,2.140468,0.827867,0.021576,6.271639,193,CHAOTIC
1.780,2.131968,0.832750,0.036055,6.260850,197,CHAOTIC
1.785,2.125744,0.835229,0.039498,6.259568,199,CHAOTIC
1.790,2.116871,0.834470,0.012082,6.255256,199,CHAOTIC
