# topology,K,chi2_worst,class
(2,3),0.30,265.41,PASS
(2,3),0.32,313.63,PASS
(2,3),0.34,276.26,PASS
(2,3),0.36,8033333.34,RESON
(2,3),0.38,8033333.34,RESON
(2,3),0.40,10308945.78,RESON
(2,3),0.42,8033333.34,RESON
(2,3),0.44,8033333.34,RESON
(2,3),0.46,8033333.34,RESON
(2,3),0.48,8033333.34,RESON
(2,3),0.50,9171122.49,RESON
(2,3),0.52,8033333.34,RESON
(2,3),0.54,8033333.34,RESON
(2,3),0.56,8033333.34,RESON
(2,3),0.58,8033333.34,RESON
(2,3),0.60,8033333.34,RESON
(2,3),0.62,10308877.51,RESON
(2,3),0.64,8033333.34,RESON
(2,3),0.66,4620017.07,RESON
(2,3),0.68,4904438.76,RESON
(2,3),0.70,4051122.49,RESON
(2,3),0.72,4335544.18,RESON
(2,3),0.74,4904455.83,RESON
(2,3),0.76,266.95,PASS
(2,3),0.78,287.37,PASS
(2,3),0.80,279.40,PASS
(2,3),0.82,262.27,PASS
(2,3),0.84,262.44,PASS
(2,3),0.86,302.74,PASS
(2,3),0.88,249.58,PASS
(2,3),0.90,8033333.34,RESON
(2,3),0.92,281.20,PASS
(2,3),0.94,276.22,PASS
(2,3),0.96,270.75,PASS
(2,3),0.98,262.58,PASS
(2,3),1.00,250.90,PASS
(3,5),0.30,110491.37,RESON
(3,5),0.32,268.46,PASS
(3,5),0.34,264.66,PASS
(3,5),0.36,11944472.89,RESON
(3,5),0.38,11944430.22,RESON
(3,5),0.40,273.21,PASS
(3,5),0.42,260.34,PASS
(3,5),0.44,592972.93,RESON
(3,5),0.46,327.06,PASS
(3,5),0.48,282.58,PASS
(3,5),0.50,298.87,PASS
(3,5),0.52,8500000.00,RESON
(3,5),0.54,7500000.00,RESON
(3,5),0.56,7500000.00,RESON
(3,5),0.58,287.14,PASS
(3,5),0.60,269.46,PASS
(3,5),0.62,259.85,PASS
(3,5),0.64,19500000.00,RESON
(3,5),0.66,15500000.00,RESON
(3,5),0.68,15500000.00,RESON
(3,5),0.70,15500000.00,RESON
(3,5),0.72,15500000.00,RESON
(3,5),0.74,272.94,PASS
(3,5),0.76,288.62,PASS
(3,5),0.78,3340000.00,RESON
(3,5),0.80,260.39,PASS
(3,5),0.82,8500000.00,RESON
(3,5),0.84,259.74,PASS
(3,5),0.86,267.85,PASS
(3,5),0.88,275.01,PASS
(3,5),0.90,271.25,PASS
(3,5),0.92,279.70,PASS
(3,5),0.94,276.86,PASS
(3,5),0.96,251.74,PASS
(3,5),0.98,286.95,PASS
(3,5),1.00,259.21,PASS
(5,7),0.30,13722222.22,RESON
(5,7),0.32,16866045.72,RESON
(5,7),0.34,306.32,PASS
(5,7),0.36,283.84,PASS
(5,7),0.38,284.39,PASS
(5,7),0.40,259.41,PASS
(5,7),0.42,262.96,PASS
(5,7),0.44,281.48,PASS
(5,7),0.46,6166688.00,RESON
(5,7),0.48,4097536.25,RESON
(5,7),0.50,287.81,PASS
(5,7),0.52,256.40,PASS
(5,7),0.54,266.90,PASS
(5,7),0.56,300.74,PASS
(5,7),0.58,298.50,PASS
(5,7),0.60,265.24,PASS
(5,7),0.62,246.45,PASS
(5,7),0.64,304.89,PASS
(5,7),0.66,275.29,PASS
(5,7),0.68,259.06,PASS
(5,7),0.70,273.84,PASS
(5,7),0.72,288.98,PASS
(5,7),0.74,275.29,PASS
(5,7),0.76,307.00,PASS
(5,7),0.78,268.69,PASS
(5,7),0.80,236.47,PASS
(5,7),0.82,297.74,PASS
(5,7),0.84,275.24,PASS
(5,7),0.86,279.20,PASS
(5,7),0.88,280.09,PASS
(5,7),0.90,253.11,PASS
(5,7),0.92,276.11,PASS
(5,7),0.94,253.97,PASS
(5,7),0.96,261.85,PASS
(5,7),0.98,239.26,PASS
(5,7),1.00,265.66,PASS
(7,11),0.30,273.06,PASS
(7,11),0.32,267.68,PASS
(7,11),0.34,276.54,PASS
(7,11),0.36,257.68,PASS
(7,11),0.38,3832661.32,RESON
(7,11),0.40,259.67,PASS
(7,11),0.42,284.98,PASS
(7,11),0.44,262.15,PASS
(7,11),0.46,263.60,PASS
(7,11),0.48,253.93,PASS
(7,11),0.50,290.45,PASS
(7,11),0.52,270.52,PASS
(7,11),0.54,300.96,PASS
(7,11),0.56,263.10,PASS
(7,11),0.58,279.95,PASS
(7,11),0.60,255.81,PASS
(7,11),0.62,8191354.87,RESON
(7,11),0.64,287.71,PASS
(7,11),0.66,265.14,PASS
(7,11),0.68,272.41,PASS
(7,11),0.70,284.76,PASS
(7,11),0.72,266.79,PASS
(7,11),0.74,272.90,PASS
(7,11),0.76,274.20,PASS
(7,11),0.78,281.87,PASS
(7,11),0.80,276.00,PASS
(7,11),0.82,290.31,PASS
(7,11),0.84,275.53,PASS
(7,11),0.86,265.34,PASS
(7,11),0.88,243.04,PASS
(7,11),0.90,276.96,PASS
(7,11),0.92,298.97,PASS
(7,11),0.94,285.87,PASS
(7,11),0.96,316.80,PASS
(7,11),0.98,13722222.22,RESON
(7,11),1.00,258.21,PASS
